person_node,person_name,person_entry_id,resolution,organisation_node,organisation_name,role,tie_source,organisation_founded_year,page,page_url,evidence,organisation_name_raw
NAME:VICTOR SACUTO,Victor Sacuto,,unmatched,L1912-00552,Cercle International «L'Union»,president,organisation_entry_officer_list,1895,100,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f124.item,"Ane. prés., MM'.' Gabriel Médina, Victor Sacuto, S. Barush",Cercle International «L'Union»
NAME:S BARUSH,S Barush,,unmatched,L1912-00552,Cercle International «L'Union»,president,organisation_entry_officer_list,1895,100,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f124.item,"Ane. prés., MM'.' Gabriel Médina, Victor Sacuto, S. Barush",Cercle International «L'Union»
L1912-01482,Jules,L1912-01482,resolved_fuzzy,L1912-00554,Cercle du Progrès,vice_president,organisation_entry_officer_list,,100,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f124.item,"Jules liessis et V. Bensasson, v.-prés.",Cercle du Progrès
NAME:V BENSASSON,V Bensasson,,ambiguous,L1912-00554,Cercle du Progrès,vice_president,organisation_entry_officer_list,,100,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f124.item,"Jules liessis et V. Bensasson, v.-prés.",Cercle du Progrès
L1912-01702,Marcel Cauwel,L1912-01702,resolved_fuzzy,L1912-00554,Cercle du Progrès,secretary,organisation_entry_officer_list,,100,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f124.item,"Marcel Cauwel, secr.",Cercle du Progrès
NAME:ZAOUCHE,Zaouche,,ambiguous,L1912-00556,Cercle Tunisien,president,organisation_entry_officer_list,1908,100,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f124.item,"Zaouche, prés.",Cercle Tunisien
NAME:H BOU HADJEB,H Bou Hadjeb,,unmatched,L1912-00556,Cercle Tunisien,vice_president,organisation_entry_officer_list,1908,100,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f124.item,"H. Bou Hadjeb, v.-prés.",Cercle Tunisien
NAME:HAIOUNI AZIZ,Haïouni Aziz,,unmatched,L1912-00556,Cercle Tunisien,secretary,organisation_entry_officer_list,1908,100,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f124.item,"Haïouni Aziz, secr.",Cercle Tunisien
NAME:HASSEN GUELLATY,Hassen Guellaty,,ambiguous,L1912-00556,Cercle Tunisien,commissioner,organisation_entry_officer_list,1908,100,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f124.item,"Ïîach-Hamba, Hassen Guellaty, Khaïrallah et Abdesselem Zaouche, commiss.",Cercle Tunisien
L1912-01506,Khaïrallah,L1912-01506,resolved,L1912-00556,Cercle Tunisien,commissioner,organisation_entry_officer_list,1908,100,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f124.item,"Ïîach-Hamba, Hassen Guellaty, Khaïrallah et Abdesselem Zaouche, commiss.",Cercle Tunisien
NAME:ABDESSELEM ZAOUCHE,Abdesselem Zaouche,,ambiguous,L1912-00556,Cercle Tunisien,commissioner,organisation_entry_officer_list,1908,100,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f124.item,"Ïîach-Hamba, Hassen Guellaty, Khaïrallah et Abdesselem Zaouche, commiss.",Cercle Tunisien
L1912-02398,Smaja,L1912-02398,resolved,L1912-00557,Cercle de l'Union,president,organisation_entry_officer_list,1910,100,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f124.item,"MM. Smaja, prés.",Cercle de l'Union
NAME:J ATTAL,J Attal,,unmatched,L1912-00557,Cercle de l'Union,secretary,organisation_entry_officer_list,1910,100,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f124.item,"J. Attal, secr.",Cercle de l'Union
NAME:MACTAR,Mactar,,unmatched,L1912-00578,Chambre d'Agriculture du Nord,member,organisation_entry_officer_list,1895,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,"Siège à Tunis, rue d'Allemagne, n"" 4: 15 membres : 5 pour le caïdat. de la. banlieue de Tunis, 1 pour le caïdat de Zaghonan. 1 pour le caïdat de Tebourba, 2 pour le contrôle civil ",Chambre d'Agriculture du Nord
L1912-00521,Carnières,L1912-00521,resolved,L1912-00578,Chambre d'Agriculture du Nord,president,organisation_entry_officer_list,1895,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,"BUREAU: MM. de Carnières, prés.",Chambre d'Agriculture du Nord
L1912-02020,Louis Pelletier,L1912-02020,resolved,L1912-00578,Chambre d'Agriculture du Nord,vice_president,organisation_entry_officer_list,1895,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,"Louis Pelletier, v.-prés.",Chambre d'Agriculture du Nord
L1912-00106,Antoine Terras,L1912-00106,resolved,L1912-00578,Chambre d'Agriculture du Nord,secretary_general,organisation_entry_officer_list,1895,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,"Antoine Terras, secr. gén.",Chambre d'Agriculture du Nord
L1912-02102,Poterie,L1912-02102,resolved,L1912-00578,Chambre d'Agriculture du Nord,member,organisation_entry_officer_list,1895,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,"Poterie, Sof, Trouche, Truelle, membres",Chambre d'Agriculture du Nord
L1912-02443,Sof,L1912-02443,resolved,L1912-00578,Chambre d'Agriculture du Nord,member,organisation_entry_officer_list,1895,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,"Poterie, Sof, Trouche, Truelle, membres",Chambre d'Agriculture du Nord
NAME:TROUCHE,Trouche,,unmatched,L1912-00578,Chambre d'Agriculture du Nord,member,organisation_entry_officer_list,1895,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,"Poterie, Sof, Trouche, Truelle, membres",Chambre d'Agriculture du Nord
NAME:TRUELLE,Truelle,,unmatched,L1912-00578,Chambre d'Agriculture du Nord,member,organisation_entry_officer_list,1895,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,"Poterie, Sof, Trouche, Truelle, membres",Chambre d'Agriculture du Nord
NAME:JEAN MARIE TERRAS,Jean-Marie Terras,,unmatched,L1912-00578,Chambre d'Agriculture du Nord,president,organisation_entry_officer_list,1895,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,"Ane. prés., MM. Jean-Marie Terras, de 1892 à 1896, de Carnières, depuis 1896.",Chambre d'Agriculture du Nord
L1912-00521,Carnières,L1912-00521,resolved,L1912-00578,Chambre d'Agriculture du Nord,president,organisation_entry_officer_list,1895,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,"Ane. prés., MM. Jean-Marie Terras, de 1892 à 1896, de Carnières, depuis 1896.",Chambre d'Agriculture du Nord
L1912-00478,A Busuttil,L1912-00478,resolved,L1912-00580,Chambre de Commerce Britannique,president,organisation_entry_officer_list,1899,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,"BUREAU : MM. A. Busuttil, prés.",Chambre de Commerce Britannique
NAME:G MIFSUD,G Mifsud,,ambiguous,L1912-00580,Chambre de Commerce Britannique,vice_president,organisation_entry_officer_list,1899,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,"G. Mifsud et E. Nani, v.-prés.",Chambre de Commerce Britannique
L1912-02767,E Nani,L1912-02767,resolved,L1912-00580,Chambre de Commerce Britannique,vice_president,organisation_entry_officer_list,1899,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,"G. Mifsud et E. Nani, v.-prés.",Chambre de Commerce Britannique
NAME:E AZUELOS,E Azuelos,,unmatched,L1912-00580,Chambre de Commerce Britannique,secretary,organisation_entry_officer_list,1899,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,"E. Azuelos, secr.",Chambre de Commerce Britannique
NAME:C SALIBA,C Saliba,,ambiguous,L1912-00580,Chambre de Commerce Britannique,member,organisation_entry_officer_list,1899,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,"C. Saliba, Mac Inerny, S. Tabone, E. Licari, S. Xuereb, membres.",Chambre de Commerce Britannique
L1912-01451,Mac Inerny,L1912-01451,resolved,L1912-00580,Chambre de Commerce Britannique,member,organisation_entry_officer_list,1899,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,"C. Saliba, Mac Inerny, S. Tabone, E. Licari, S. Xuereb, membres.",Chambre de Commerce Britannique
L1912-02500,S Tabone,L1912-02500,resolved,L1912-00580,Chambre de Commerce Britannique,member,organisation_entry_officer_list,1899,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,"C. Saliba, Mac Inerny, S. Tabone, E. Licari, S. Xuereb, membres.",Chambre de Commerce Britannique
NAME:E LICARI,E Licari,,ambiguous,L1912-00580,Chambre de Commerce Britannique,member,organisation_entry_officer_list,1899,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,"C. Saliba, Mac Inerny, S. Tabone, E. Licari, S. Xuereb, membres.",Chambre de Commerce Britannique
L1912-02779,S Xuereb,L1912-02779,resolved,L1912-00580,Chambre de Commerce Britannique,member,organisation_entry_officer_list,1899,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,"C. Saliba, Mac Inerny, S. Tabone, E. Licari, S. Xuereb, membres.",Chambre de Commerce Britannique
NAME:CONSUL,Consul,,unmatched,L1912-00581,Chambre de Commerce Italienne,honorary_president,organisation_entry_officer_list,1884,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,"Prés, d'honn., M. le Consul général d'Italie",Chambre de Commerce Italienne
L1912-00172,G Atlia,L1912-00172,resolved_fuzzy,L1912-00581,Chambre de Commerce Italienne,president,organisation_entry_officer_list,1884,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,"MM. G. Atlia, prés.",Chambre de Commerce Italienne
NAME:S CANINO,S Canino,,unmatched,L1912-00581,Chambre de Commerce Italienne,vice_president,organisation_entry_officer_list,1884,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,"S. Canino et Luigi Rey, v.-prés.",Chambre de Commerce Italienne
NAME:LUIGI REY,Luigi Rey,,ambiguous,L1912-00581,Chambre de Commerce Italienne,vice_president,organisation_entry_officer_list,1884,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,"S. Canino et Luigi Rey, v.-prés.",Chambre de Commerce Italienne
NAME:V BOCCARA,V Boccara,,unmatched,L1912-00581,Chambre de Commerce Italienne,secretary,organisation_entry_officer_list,1884,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,V. Boccara secr.,Chambre de Commerce Italienne
NAME:ANE,Ane,,unmatched,L1912-00581,Chambre de Commerce Italienne,president,organisation_entry_officer_list,1884,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,Ane. prés.,Chambre de Commerce Italienne
L1912-00274,Bellot,L1912-00274,resolved,L1912-00582,Chambre de Commerce de Tunis,president,organisation_entry_officer_list,1885,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,"Bellot, prés.",Chambre de Commerce de Tunis
L1912-02019,PelleL,L1912-02019,resolved_fuzzy,L1912-00582,Chambre de Commerce de Tunis,vice_president,organisation_entry_officer_list,1885,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,PelleLv.-prés.,Chambre de Commerce de Tunis
L1912-00273,Bellissen,L1912-00273,resolved,L1912-00582,Chambre de Commerce de Tunis,secretary,organisation_entry_officer_list,1885,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,"Bellissen, secr.",Chambre de Commerce de Tunis
L1912-02649,Auguste Ventre,L1912-02649,resolved,L1912-00582,Chambre de Commerce de Tunis,president,organisation_entry_officer_list,1885,103,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f127.item,Ane. prés.: Auguste Ventre. 1885 à 1887. 1891 à 1893. 1895 à 1S96,Chambre de Commerce de Tunis
NAME:KAIROUAN,Kairouan,,unmatched,L1912-00583,Chambre mixte du Centre,member,organisation_entry_officer_list,1892,104,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f128.item,"Se compose de 12 membres et comprend les contrôles de Sousse (10 membres), de Kairouan et de Tliala (2 membres)",Chambre mixte du Centre
NAME:TLIALA,Tliala,,unmatched,L1912-00583,Chambre mixte du Centre,member,organisation_entry_officer_list,1892,104,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f128.item,"Se compose de 12 membres et comprend les contrôles de Sousse (10 membres), de Kairouan et de Tliala (2 membres)",Chambre mixte du Centre
NAME:CHAMBRES,Chambres,,unmatched,L1912-00583,Chambre mixte du Centre,treasurer,organisation_entry_officer_list,1892,104,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f128.item,"Mêmes condition pour ""l'électoral et l'éligibilité que les autres Chambres",Chambre mixte du Centre
L1912-00404,Borlino,L1912-00404,resolved_fuzzy,L1912-00583,Chambre mixte du Centre,president,organisation_entry_officer_list,1892,104,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f128.item,"BUHE.AU : MM. Guillcmard, président: Borlino, v.-prés.",Chambre mixte du Centre
L1912-00507,Canton,L1912-00507,resolved,L1912-00583,Chambre mixte du Centre,secretary,organisation_entry_officer_list,1892,104,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f128.item,"Canton, secrétaire",Chambre mixte du Centre
NAME:LEFRONF,Lefronf,,unmatched,L1912-00583,Chambre mixte du Centre,treasurer,organisation_entry_officer_list,1892,104,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f128.item,"Lefronf, trésorier",Chambre mixte du Centre
NAME:DEMANGE,Démange,,unmatched,L1912-00583,Chambre mixte du Centre,member,organisation_entry_officer_list,1892,104,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f128.item,"Démange, Dupoux, Epinal, Grunig, Lotte, Mauras, Rofalo, Rielmann,membres",Chambre mixte du Centre
L1912-00976,Dupoux,L1912-00976,resolved,L1912-00583,Chambre mixte du Centre,member,organisation_entry_officer_list,1892,104,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f128.item,"Démange, Dupoux, Epinal, Grunig, Lotte, Mauras, Rofalo, Rielmann,membres",Chambre mixte du Centre
NAME:EPINAL,Epinal,,ambiguous_fuzzy,L1912-00583,Chambre mixte du Centre,member,organisation_entry_officer_list,1892,104,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f128.item,"Démange, Dupoux, Epinal, Grunig, Lotte, Mauras, Rofalo, Rielmann,membres",Chambre mixte du Centre
NAME:GRUNIG,Grunig,,unmatched,L1912-00583,Chambre mixte du Centre,member,organisation_entry_officer_list,1892,104,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f128.item,"Démange, Dupoux, Epinal, Grunig, Lotte, Mauras, Rofalo, Rielmann,membres",Chambre mixte du Centre
L1912-01847,Lotte,L1912-01847,resolved_fuzzy,L1912-00583,Chambre mixte du Centre,member,organisation_entry_officer_list,1892,104,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f128.item,"Démange, Dupoux, Epinal, Grunig, Lotte, Mauras, Rofalo, Rielmann,membres",Chambre mixte du Centre
L1912-01726,Mauras,L1912-01726,resolved_fuzzy,L1912-00583,Chambre mixte du Centre,member,organisation_entry_officer_list,1892,104,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f128.item,"Démange, Dupoux, Epinal, Grunig, Lotte, Mauras, Rofalo, Rielmann,membres",Chambre mixte du Centre
L1912-02155,Rofalo,L1912-02155,resolved_fuzzy,L1912-00583,Chambre mixte du Centre,member,organisation_entry_officer_list,1892,104,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f128.item,"Démange, Dupoux, Epinal, Grunig, Lotte, Mauras, Rofalo, Rielmann,membres",Chambre mixte du Centre
L1912-02182,Rielmann,L1912-02182,resolved_fuzzy,L1912-00583,Chambre mixte du Centre,member,organisation_entry_officer_list,1892,104,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f128.item,"Démange, Dupoux, Epinal, Grunig, Lotte, Mauras, Rofalo, Rielmann,membres",Chambre mixte du Centre
L1912-02191,Gabriel Robert,L1912-02191,resolved,L1912-00583,Chambre mixte du Centre,past_president,organisation_entry_officer_list,1892,104,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f128.item,"Anciens présidents : MM. Gabriel Robert, de .1.896 à. 1901: Docteur Lambert. de ""1902 à 1904",Chambre mixte du Centre
L1912-01579,Lambert,L1912-01579,resolved,L1912-00583,Chambre mixte du Centre,past_president,organisation_entry_officer_list,1892,104,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f128.item,"Anciens présidents : MM. Gabriel Robert, de .1.896 à. 1901: Docteur Lambert. de ""1902 à 1904",Chambre mixte du Centre
L1912-02135,Raichlen,L1912-02135,resolved_fuzzy,L1912-00664,Club Nautique,president,organisation_entry_officer_list,,119,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f143.item,"Bureau : MM. Raichlen, prés.",Club Nautique
L1912-00311,Berhaull,L1912-00311,resolved_fuzzy,L1912-00664,Club Nautique,vice_president,organisation_entry_officer_list,,119,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f143.item,"Berhaull et Victor Roy, v.-prés.",Club Nautique
NAME:VICTOR ROY,Victor Roy,,unmatched,L1912-00664,Club Nautique,vice_president,organisation_entry_officer_list,,119,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f143.item,"Berhaull et Victor Roy, v.-prés.",Club Nautique
NAME:RAIMBAUD,Raimbaud,,unmatched,L1912-00664,Club Nautique,deputy_secretary,organisation_entry_officer_list,,119,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f143.item,"Raimbaud, secr. adj.",Club Nautique
NAME:ROY,Roy,,unmatched,L1912-00686,Comité d'Action Républicaine aux Colonies,president,organisation_entry_officer_list,1907,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"MM. Roy, prés.",Comité d'Action Républicaine aux Colonies
NAME:P EZON,P'ezon,,unmatched,L1912-00686,Comité d'Action Républicaine aux Colonies,vice_president,organisation_entry_officer_list,1907,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"P'ezon et Carrier, -v.-prés.",Comité d'Action Républicaine aux Colonies
L1912-00524,Carrier,L1912-00524,resolved,L1912-00686,Comité d'Action Républicaine aux Colonies,vice_president,organisation_entry_officer_list,1907,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"P'ezon et Carrier, -v.-prés.",Comité d'Action Républicaine aux Colonies
NAME:FEDERATION,Fédération,,unmatched,L1912-00687,Comité d'Action Républicaine aux Colonies,president,organisation_entry_officer_list,,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"Comité d'Action Républicaine aux Colonies. (Section de Tunis) : MM. Victor Communaux, prés, de la Fédération de' la Ligue de l'Enseignement, prés.",Comité d'Action Républicaine aux Colonies
L1912-00342,Bignens,L1912-00342,resolved,L1912-00687,Comité d'Action Républicaine aux Colonies,vice_president,organisation_entry_officer_list,,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"Bignens, v.-prés.",Comité d'Action Républicaine aux Colonies
NAME:LOUIS THOMAS,Louis Thomas,,ambiguous,L1912-00687,Comité d'Action Républicaine aux Colonies,secretary,organisation_entry_officer_list,,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"Louis Thomas, secr.",Comité d'Action Républicaine aux Colonies
L1912-00969,Ducas,L1912-00969,resolved_fuzzy,L1912-00687,Comité d'Action Républicaine aux Colonies,deputy_secretary,organisation_entry_officer_list,,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"Ducas, secr.-adj.",Comité d'Action Républicaine aux Colonies
NAME:PROUST,Proust,,ambiguous,L1912-00689,Comité directeur,president,organisation_entry_officer_list,,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"Proust, président",Comité directeur
NAME:LECORE CARPENTIER,Lecore-Carpentier,,unmatched,L1912-00689,Comité directeur,vice_president,organisation_entry_officer_list,,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"Lecore-Carpentier, G. Attia, J.-M. Terras, Watrin, v.-prés.",Comité directeur
L1912-00172,G Attia,L1912-00172,resolved,L1912-00689,Comité directeur,vice_president,organisation_entry_officer_list,,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"Lecore-Carpentier, G. Attia, J.-M. Terras, Watrin, v.-prés.",Comité directeur
NAME:J M TERRAS,J.-M Terras,,unmatched,L1912-00689,Comité directeur,vice_president,organisation_entry_officer_list,,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"Lecore-Carpentier, G. Attia, J.-M. Terras, Watrin, v.-prés.",Comité directeur
L1912-02685,Watrin,L1912-02685,resolved,L1912-00689,Comité directeur,vice_president,organisation_entry_officer_list,,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"Lecore-Carpentier, G. Attia, J.-M. Terras, Watrin, v.-prés.",Comité directeur
L1912-00240,Baron,L1912-00240,resolved,L1912-00689,Comité directeur,member,organisation_entry_officer_list,,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"Baron, Barrion, Berthier, A. Bussulil, B. Couiféas, C. Fabbri, Fitoussi, Baron Fleury, Guesnier, Guy de Farconconnel, Comte Landon de Longeville, D' Leiranski, Mucoli, Pierre Omess",Comité directeur
NAME:BARRION,Barrion,,unmatched,L1912-00689,Comité directeur,member,organisation_entry_officer_list,,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"Baron, Barrion, Berthier, A. Bussulil, B. Couiféas, C. Fabbri, Fitoussi, Baron Fleury, Guesnier, Guy de Farconconnel, Comte Landon de Longeville, D' Leiranski, Mucoli, Pierre Omess",Comité directeur
NAME:BERTHIER,Berthier,,unmatched,L1912-00689,Comité directeur,member,organisation_entry_officer_list,,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"Baron, Barrion, Berthier, A. Bussulil, B. Couiféas, C. Fabbri, Fitoussi, Baron Fleury, Guesnier, Guy de Farconconnel, Comte Landon de Longeville, D' Leiranski, Mucoli, Pierre Omess",Comité directeur
NAME:A BUSSULIL,A Bussulil,,unmatched,L1912-00689,Comité directeur,member,organisation_entry_officer_list,,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"Baron, Barrion, Berthier, A. Bussulil, B. Couiféas, C. Fabbri, Fitoussi, Baron Fleury, Guesnier, Guy de Farconconnel, Comte Landon de Longeville, D' Leiranski, Mucoli, Pierre Omess",Comité directeur
NAME:B COUIFEAS,B Couiféas,,unmatched,L1912-00689,Comité directeur,member,organisation_entry_officer_list,,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"Baron, Barrion, Berthier, A. Bussulil, B. Couiféas, C. Fabbri, Fitoussi, Baron Fleury, Guesnier, Guy de Farconconnel, Comte Landon de Longeville, D' Leiranski, Mucoli, Pierre Omess",Comité directeur
NAME:C FABBRI,C Fabbri,,unmatched,L1912-00689,Comité directeur,member,organisation_entry_officer_list,,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"Baron, Barrion, Berthier, A. Bussulil, B. Couiféas, C. Fabbri, Fitoussi, Baron Fleury, Guesnier, Guy de Farconconnel, Comte Landon de Longeville, D' Leiranski, Mucoli, Pierre Omess",Comité directeur
L1912-01165,Fitoussi,L1912-01165,resolved,L1912-00689,Comité directeur,member,organisation_entry_officer_list,,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"Baron, Barrion, Berthier, A. Bussulil, B. Couiféas, C. Fabbri, Fitoussi, Baron Fleury, Guesnier, Guy de Farconconnel, Comte Landon de Longeville, D' Leiranski, Mucoli, Pierre Omess",Comité directeur
L1912-01171,Fleury,L1912-01171,resolved,L1912-00689,Comité directeur,member,organisation_entry_officer_list,,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"Baron, Barrion, Berthier, A. Bussulil, B. Couiféas, C. Fabbri, Fitoussi, Baron Fleury, Guesnier, Guy de Farconconnel, Comte Landon de Longeville, D' Leiranski, Mucoli, Pierre Omess",Comité directeur
L1912-01325,Guesnier,L1912-01325,resolved_fuzzy,L1912-00689,Comité directeur,member,organisation_entry_officer_list,,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"Baron, Barrion, Berthier, A. Bussulil, B. Couiféas, C. Fabbri, Fitoussi, Baron Fleury, Guesnier, Guy de Farconconnel, Comte Landon de Longeville, D' Leiranski, Mucoli, Pierre Omess",Comité directeur
L1912-01343,Guy,L1912-01343,resolved,L1912-00689,Comité directeur,member,organisation_entry_officer_list,,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"Baron, Barrion, Berthier, A. Bussulil, B. Couiféas, C. Fabbri, Fitoussi, Baron Fleury, Guesnier, Guy de Farconconnel, Comte Landon de Longeville, D' Leiranski, Mucoli, Pierre Omess",Comité directeur
NAME:LANDON,Landon,,ambiguous_fuzzy,L1912-00689,Comité directeur,member,organisation_entry_officer_list,,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"Baron, Barrion, Berthier, A. Bussulil, B. Couiféas, C. Fabbri, Fitoussi, Baron Fleury, Guesnier, Guy de Farconconnel, Comte Landon de Longeville, D' Leiranski, Mucoli, Pierre Omess",Comité directeur
NAME:LEIRANSKI,Leiranski,,unmatched,L1912-00689,Comité directeur,member,organisation_entry_officer_list,,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"Baron, Barrion, Berthier, A. Bussulil, B. Couiféas, C. Fabbri, Fitoussi, Baron Fleury, Guesnier, Guy de Farconconnel, Comte Landon de Longeville, D' Leiranski, Mucoli, Pierre Omess",Comité directeur
L1912-02159,Remy,L1912-02159,resolved,L1912-00690,Comité d'initiative du N.-O,vice_president,organisation_entry_officer_list,,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"vice-présidents, MM. llanoun et Remy",Comité d'initiative du N.-O
NAME:MAZURKIEWIEZ,Mazurkiewiez,,unmatched,L1912-00690,Comité d'initiative du N.-O,secretary_general,organisation_entry_officer_list,,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"secrétaire général, M. Mazurkiewiez. huissier à Soukel-Arba.",Comité d'initiative du N.-O
L1912-02172,Reynaud,L1912-02172,resolved,L1912-00690,Comité d'initiative du N.-O,treasurer,organisation_entry_officer_list,,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"trésorier, M. N.: secrétaire, M. Reynaud.",Comité d'initiative du N.-O
L1912-00964,Duffau,L1912-00964,resolved,L1912-00691,Comité local de l'Orphelinat de l'Enseignement primaire de France,secretary,organisation_entry_officer_list,1886,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"Duffau, secr.",Comité local de l'Orphelinat de l'Enseignement primaire de France
L1912-00507,Canton,L1912-00507,resolved,L1912-00691,Comité local de l'Orphelinat de l'Enseignement primaire de France,member,organisation_entry_officer_list,1886,123,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f147.item,"Canton, Guillot, Combaz, Khemis, Vaudaine, membres",Comité local de l'Orphelinat de l'Enseignement primaire de France
