entry_id,headword,sort_key,entry_type,classification_rule,segmentation_rule,page_first,page_last,view_first,view_last,n_chars,n_paragraphs,n_portraits,ocr_confidence,page_url,image_url,text
L1912-00020,Administrateur de la Liste civile du Bey,ADMINISTRATEUR DE LA LISTE CIVILE DU BEY,topic,residual,alphabetical_window,3,3,27,27,859,2,0,0.956,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f27.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f27/full/full/0/native.jpg,"Administrateur de la Liste civile du Bey. Nom donné à l'administrateur du domaine privé du Bey, de la liste civile du Bey et du domaine de l'Etat affecté à la Couronne. Cet administrateur, dont la charge a été créée par décret beylical du 11 mai 1902 et réglementée par décret du 11 juin 1902, est un fonctionnaire français des Finances, nommé par décret beylical. H administre tous les biens de la Couronne, a seul qualité pour procéder en justice, soit en demandant, soif en défendant, dans les instances relatives à la propriété ou à la jouissance des biens faisant partie du domaine privé, établit chaque année un état des recettes et des dépenses, paye les dépenses et encaisse les revenus déposés au compte du souverain à la Recette générale, sous le contrôle du Directeur des Finances et du Premier Ministre. Titulaire actuel de la charge : M. G. Remy."
L1912-00021,ADRAGNA,ADRAGNA,person,forenames_and_life_dates,anchor_surname,3,3,27,27,433,2,0,0.9077,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f27.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f27/full/full/0/native.jpg,"ADRAGNA (Giacomo), 20 avril 1870, Alcamo (Italie). Pharmacien de 1"" classe, Kairouan. 1902. ETUDES : Université de Palerme. « Affiches Tunisiennes » (Les Petites Affiches de la Régence), 16 juin 1899. Tunis; rédaction, 6, rue d'Italie. Journal de publicité générale et spéciale des ventes et achats d'immeubles, fonds de commerce, terrains, etc. Renseignements généraux sur la colonisation en Tunisie. Fondateur-directeur J. Baroche."
L1912-00022,AFRIGAN,AFRIGAN,person,forenames_and_life_dates,anchor_surname,3,3,27,27,523,1,0,0.9365,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f27.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f27/full/full/0/native.jpg,"AFRIGAN (Charles), 15 avril 1883, fils de Canadiens, off. du Nichan-Iftikhar. Administrateur de la scène du Casino municipal de Tunis, 13, avenue dé Paris. 1893. SUCCESS' : secrétaire-copistebibliothécaire au Théâtre municipal,copiste au Théâtre municipal d'Alger et à l'ancien Théâtre municipal de Tunis (direction Donchet), agent de contentieux, secrétaire-contrôleur général du Théâtre, régisseur général du Palmarium et du Casino du Belvédère. Collaborateur à plusieurs revues et publications artistiques et théâtrales."
L1912-00023,AGAREB,AGAREB,place,settlement_noun_and_measure,anchor_surname,3,4,27,28,193,1,0,0.9014,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f27.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f27/full/full/0/native.jpg,"AGAREB. G. c. de Sfax, caldat.de Sfax. Village à 21 kilom. de Sfax, à 24 kilom. de Maharès, peuplé par la tribu des Aguerba. Oliviers, arbres fruitiers, élevage. Station de monte créée en 1S99."
L1912-00024,Agence Fournier,AGENCE FOURNIER,topic,residual,alphabetical_window,4,4,28,28,184,1,0,0.9688,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f28.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f28/full/full/0/native.jpg,"Agence Fournier. Succursale à Tunis depuis 1905, 6, rue d'Italie. Publie deux fois par jour des dépêches affichées dans les cafés et établissements abonnés. Directeur, M. Paul Lambert."
L1912-00025,Agence Havas,AGENCE HAVAS,topic,residual,alphabetical_window,4,4,28,28,214,1,0,0.7939,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f28.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f28/full/full/0/native.jpg,"Agence Havas. Succursale à. Tunis depuis 1881, 40, rue Al-Djazira. Agence d'informations. Directeur, M. Albert Canal ; anciens directeurs, MM. Maréchal, Balut, Lallemand, Vayssiô, Léon Labbô. . Agha. V. Bit el.Mal."
L1912-00026,AGHIR,AGHIR,place,administrative_unit,anchor_surname,4,4,28,28,121,1,0,0.9427,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f28.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f28/full/full/0/native.jpg,"AGHIR. C. c. de Gabès, ami. de Djerba, caïdat de l'Arad, à 7 kilom. de Midoun. Port île de Dierba. Poste de douane. D. A."
L1912-00027,AGHLÉBITE,AGHLEBITE,topic,residual,anchor_surname,4,4,28,28,132,1,0,0.9512,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f28.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f28/full/full/0/native.jpg,"AGHLÉBITE (ou Aglabites). Nom de la dynastie arabe fondée par Ibrahim bon Aghleb. Elle régna de 800 à 909, comprenant douze princes."
L1912-00028,AGNEL,AGNEL,person,caps_headword_with_date,anchor_surname,4,4,28,28,106,1,0,0.929,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f28.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f28/full/full/0/native.jpg,"AGNEL, 1875, off. du Nichan-Iftikhar. Sous-chef de bureau à la Direction des Finances, à Tunis. Nov. 1896."
L1912-00029,Agriculture,AGRICULTURE,topic,residual,alphabetical_window,4,4,28,28,1129,1,0,0.9741,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f28.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f28/full/full/0/native.jpg,"Agriculture. Les principales cultures de la Tunisie sont les céréales (blé, orge, avoine, maïs), les fourrages, la vigne (principalement dans le nord) el l'olivier (principalement dans le centre cl. le sud). Comme arhres fruitiers on rencontre : le figuier, le caroubier, l'amandier, l'oranger, le citronnier, le . mandarinier, le grenadier, le bananier el, dans certaines régions tempérées, le prunier, l'abricotier, le cerisier, le pommier, le poirier, le pêcher, elc: La culture maraîchère ne peut se développer que dans les régions où l'eau est en abondance et principalement dans le voisinage des villes. Les principaux légumes cultivés avec succès sont les pommes de terre (celle de Hollande donne de 4 à 6.000 kilos, celle d'Early rose, jusqu'à 10 ou 12.000 kilos à l'hectare), les pois, les artichauts, les tomates, la courge, l'oignon,' etc. Au point de vue industriel, on cultive en Tunisie un certain nombre de plantes textiles (cotonnier, agaves, ketmie, etc.), le lin, les plantes tinctoriales (garance, carthame, henné), et le tabac, dont la culture n'est autorisée que dans certaines régions du nord de la Tunisie."
L1912-00030,AGUERBA,AGUERBA,topic,residual,anchor_surname,4,4,28,28,53,1,0,0.9975,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f28.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f28/full/full/0/native.jpg,AGUERBA. Nom de la tribu peuplant la région d'Agareb.
L1912-00031,AHMED BEN OTHMAN,AHMED BEN OTHMAN,person,forenames_and_life_dates,anchor_surname,4,4,28,28,2182,8,0,0.9534,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f28.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f28/full/full/0/native.jpg,"AHMED BEN OTHMAN (SI). Né au Caucase en 1840, vint en Tunisie après la guerre de Crimée, en 1856, avec le général Rechid, commandant du corps expéditionnaire tunisien en Crimée. A. son arrivée, Si Ahmed ben Olhman fut incorporé dans le corps des mameluks de Sidi Mhamed-pacha-bey, père du souverain actuel Sidi Naceur. 11 fit ses études coraniques à La Marsa, où il était le condisciple de feu Sidi Moustapha-bey et de Sidi Mohamed el I-Iadlbey; il fut nommé en 1859 capitaine; capitaine adjudant-major en 1864; commandant au 2"" régiment d'infanterie, division de Sousse, en 1866; décoré du 4"" ordre du Nichan en 1870. En 1871, fl rendit obligatoire, pour la garde du palais, les honneurs aux femmes du Bey régnant, à leur passage, au même titre que leur mari. Décoré en 1872 du 3"" ordre du Nichan; lieutenant-colonel du 2* d'infanterie en 1874 ; promu commandeur du Nichan en 1SS2-. Le lieutenant-colonel Ahmed ben Othman fut un des premiers instructeurs des officiers supérieurs de l'armée beyllcale. Son instruction militaire fut faite par le colonel Campenon, instructeur français de l'armée beylicale, devenu plus tard ministre de la Guerre de France. Le lieutenant-colonel Si Ahmed ben Olhman élail le gendre du général de division Osman, ancien gouverneur militaire et civil de toute la région du Sahel. Si Ahmed ben Olhman se trouva en relations de services avec des personnages comme les généraux Forgemol, Riu, Etienne, les colonels Moulin et Correard, intérimaire du général Riu, etc. Gouverneur de l'Enfida en 1885, poste qu'il occupa pendant douze ans, et qui lui fut accordé en récompense de ses services. Le 15 octobre 1897, le caïdat de l'Enfida fut supprimé et rallaché au caïdat de Sousse; on le nomma gouverneur des Fraichich à Thala, poste où il ne put se rendre en raison du très mauvais état de santé d'une des personnes de sa famille; il fut alors considéré comme démissionnaire et mis en disponibilité. Au moment de sa mort, survenue à Monastir en 1909, fut nommé chevalier de la Légion d'honneur en récompense des nombreux services qu'il rendit,, lors de l'occupation, aux généraux français qui commandaient la subdivision de Sousse et le sud de la Régence."
L1912-00032,AHMED-BEY,AHMEDBEY,place,administrative_markers,anchor_surname,4,4,28,28,395,1,0,0.9501,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f28.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f28/full/full/0/native.jpg,"AHMED-BEY, de la dynastie husseïnite,bey-de Tunis,régna de 1837 à 1855. Fut très populaire. Partisan de la civilisation européenne, il rendit visite à Louis-Philippe, fit exécuter de grands travaux dans la Régence et la première carte régulière du pays par des ingénieurs français, ferma le marché aux esclaves, créa une armée et envoya 10.000 hommes en Crimée, sur l'invitation de Napoléon III."
L1912-00033,AHMED-ZAID,AHMEDZAID,place,administrative_unit,anchor_surname,4,5,28,29,284,2,0,0.9336,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f28.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f28/full/full/0/native.jpg,"AHMED-ZAID. C. c. de Tunis, caïdat de la banlieue. |ft§lt (H) sur la ligne B.-G. de Tunis (23 k.) à La Laverie (5 k.) A 5 k. de Crétéville. Train Mornaa. ' AHZEB. Nom donné au lecteur du Coran dans les mosquées. AZHEG. C. c. de Sfax, caïdat de Sfax. Village à 42 kilom. de Sfax. D. A."
L1912-00034,AIACHI,AIACHI,person,caps_headword_with_date,anchor_surname,5,5,29,29,631,3,1,0.8723,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f29.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f29/full/full/0/native.jpg,"AIACHI (I-lassouna), 1873, Sousse (Tunisie). Avocat au barreau de Sousse, rue d'Angleterre,à Sousse. ETUDES : Colle g e Sadikt ; Ecole Normale do Tunis ; Facul lé de droit de Paris; brevet supérieur; brevet d'arabe ;; licencié en droit; lauréat de l'Alliance Française en 1892 (méd a i 11 e d ' a rgent). SUCCESS': instituteur à Monaslir (1S93), chargé du cours d'arabe u.u lvcée Carnol t'1.894), secrétaire-interprète à la Direction des Contrôles et de l'Agriculture (:IS!.>5),éliidiant en droit (1896 à. 1898), avocat à Sousse depuis 1S98. Président de la Société de Bienfaisance Musulmane de Sousse; membres du Cercle Tunisien ."
L1912-00035,AIGROT,AIGROT,person,forenames_and_life_dates,anchor_surname,5,5,29,29,386,1,0,0.9177,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f29.item,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5505300s/f29/full/full/0/native.jpg,"AIGROT (Charles), 4 nov. 1S76, Chamblay (Jura), industriel à Kairouan. 20 janv. 1902. Président de l'Harmonie Kairouannaise; président de la Société Sportive « l'Union de la Jeunesse Kairouannaise»; trésorier du Cercle Français; président du Comité de la foire de Kairouan en 1908; secrétaire de la rédaction de « l'Union Kairouannaise » et son gérant; correspondant de divers journaux."
