entry_id,organisation_name,founded_raw,founded_year,seat_raw,city,n_members_stated,purpose_raw,activities_raw,organisation_kinds,organisation_kind_primary,n_chars,page_first,ocr_confidence
L1912-00756,Croix-Rouge Française,20 oct. 1892,1892,,Tunis,20000,"secours aux blessés el malades de l'armée en temps de guerre; secours aux victimes de désastres publics. Nombreux dons on envois adressés par l'intermédiaire de M. le ministre de la. guerre à tous nos corps expéditionnaires. Nombre de membres : 160. Quarante médailles,diplômes ou grands prix. Délégué régional : M. le lieutenant-colonel V. de Labonne; présidente active M"""" Tau chou; v.-prés. : M"""" Lagrenée, Machuel, de Labonne; secret. gén. : M. le D"" Braquehaye, chirurgien en chef de l'hôpital civil; très. : M. N...; direct, du matériel : M"""" Morel; secr. : M"""""" Ponzevera et Larbey; pVopagande","campagne a.nli-malarique; conférence pour infirmiers et infirmières; campagne d'Afrique et campagne de Chine; secours pendant la guerre russo-japonnaise aux deux armées; secours pendant les dernières inondalions et tremblements de terre en Italie. Président (délégué) de la délégation de. Tunis : M. le D' Morpurgo. Croix de Hentana. Quelques rares anciens soldats pontificaux italiens et français, établis en Tunisie, sont titulaire de cette décoration. Après la courte campagne que le combat de Mentana a terminée au commencement de novembre 1867, le pape Pie IX voulut instituer, en souvenir de ce",national_community,national_community,4179,140,0.9389
L1912-00757,Croix-Verte de Tunis,10 août 1894,1894,,Tunis,130,,,,,459,141,0.9118
L1912-00764,Cultes,,,,Tunis,,,,mutual_aid;chamber_public_body;learned_society;religious;national_community,mutual_aid,6406,142,0.9719
L1912-00793,Débit de boissons,,,,,,,,,,376,148,0.9289
L1912-00996,Ecole Coloniale d'Agriculture de Tunis,1898,1898,,Tunis,,"donner aux élèves les connaissances théoriques et pratiques nécessaires pour la mise en valeur ra.isonnée du sol dans la France d'oulre-m-er que constitue l'Afrique du Nord, ainsi que dans les autres pays du bassin méditerranéen; les préparer également a, s'installer dans h,ôs possessions éloignées. Les élèves les mieux classés à la sortie de l'Ecole peuvent bénéficier de «bourses de stage» qui leur permettent de parachever leur instruction pratique. Les élèves diplômés de l'Ecole Coloniale d'Agriculture de Tunis qui désirent acquérir un fonds rural en Tunisie jouissent, pendant les cinq année",,learned_society;agricultural_economic,learned_society,2782,171,0.9762
L1912-01073,Enfants de l'Aude,9 mai 1.907,1907,,Tunis,130,"1° créer et entretenir entre ses membres un lien réel de sympathie; 2° s'intéresser avec la. plus vie sollicitude aux compatriotes dans le besoin ou frappés par un malheur; 3° fournir gratuitement des renseignements sur le pays aux nouveaux venus en Tunisie el, aux compatriotes qui auraient l'intention d'y venir. 130 membres. Prés, d'honn., M. Blanc, secrétaire général du Gouvernement tunisien; prés, depuis la fondation : M. Bénazet A.; vice-prés., M. Bourrel; secrétaire général : M. At; très., M. Courtade E.; secr.-adj. : M. Gros; assesseurs, MM. Malis, Carbonnel, Courtade F. et Marlinolles.","a accordé des secours et a. favorisé très activement le peuplement français en Tunisie. Délégués : MM. Vidal, à Béja; Soulet, à Hammam-Lif ; Brau el Guiraud, à Sousse; Clergue, à Sfax; Ferrier, à Medenine.",,,884,178,0.9442
L1912-01075,Enfants du Limousin,Nov. 1893,1893,,Tunis,30,"aider les Limousins à trouver un emploi et leur donner un secours en cas de besoin. 30 membres environ. MM. le baron Fleury, prés, depuis la fondation; E. Coste, v.-prés.; Coste, secr.; Brun, très.",,,,292,178,0.9451
L1912-01126,Fédération des Cercles tunisiens de la Ligue de l'Enseignement,Déc. 1902,1902,,Tunis,800,"soutenir l'action locale de chaque cercle devant les Pouvoirs publics et favoriser la création de cercles nouveaux; organiser des congrès périodiques où seront discutées toutes les questions d'intérêt général relevant de la Ligue de l'Enseignement; assurer, par la. contribution de tous les cercles, la publication du Bulletin de la Fédéralion. 800 membres. Prés., M. Communaux; v.-prés., MM. Duclos et Cordier; secr. gén., M. H. Bec; secr.-adj., M. le docteur Rouquié; très., M. Chaffanjon; membres : deux par cercle.","fondation des cercles de de Béja, Bizerte, Ferryville, Gabès, Kairouan, Le Kef, Mahdia, Mateur, Sfax, Souk-el-Arba, Djerba, Sousse, Tebourba, Ghardimaou, Tabarca, Souk-el-Khemis. Participation aux diverses oeuvres de la Ligue de l'Enseignement.",,,892,186,0.9651
L1912-01195,Franc-Comtoise,,,,Tunis,158,"Créer el, entretenir les liens de camaraderie entre les Français fixés en Tunis et originaires du Doubs, du Jura, de la HauteSaône et du territoire de Belfort; aider et secourir les compatriotes qui désirent venir s'installer en Tunisie. MM. Pellet, prés:; Faivre el Tuetuz, v.-prés.; Galley, secr.; Mercier, très.; Guiol, Guillain, Aiibry, Tronillol, Cornue! et Cordier, membres du Conseil. 158 membres.",,,,437,197,0.9368
L1912-01200,FROPO,16 nov.1858,1858,,Tunis,,,,,,328,198,0.8056
L1912-01416,Hôpital civil français,9 juin 1897,1897,,Tunis,,,,,,2180,228,0.9477
L1912-01417,Hôpital colonial italien ce Giuseppe Garibaldi»,1890,1890,,Tunis,,,,chamber_public_body;religious;national_community,chamber_public_body,1539,228,0.9669
L1912-01419,Hôpital Sadiki,"1"" janvier 1880",1880,,Tunis,,,,chamber_public_body,chamber_public_body,815,229,0.9602
L1912-01430,HUGON,1882,1882,,Béja,,,,chamber_public_body;agricultural_economic,chamber_public_body,285,231,0.8312
L1912-01455,Infirmerie indigène de Bizerte,,,,Bizerte,,,,chamber_public_body,chamber_public_body,1300,237,0.9699
L1912-01457,Institut de Carthage,1S93,1893,,Carthage,350,"faire connaître, sous toutes les faces et de toutes les manières possibles, la Tunisie. Son champ d'études s'étend à tout ce qui est de nature, en Tunisie, à intéresser les lettres, les sciences, les arts, le commerce et l'industrie; il embrasse, par conséquent, la littérature, l'histoire, la géographie, l'ethnographie, l'anthropologie, l'archéologie, la numismatique, les sciences physiques et naturelles, la linguistique, la paléographie, la marine, l'économie sociale et politique, la colonisation, l'horticulture, etc. « Les moyens pratiques que l'Association compte employer sont : l* la fonda",,learned_society,learned_society,3216,237,0.9567
L1912-01458,Institut électro-médical de Tunis,,,,Tunis,,,,learned_society,learned_society,5432,238,0.983
L1912-01459,Institut Pasteur de Tunis,,,,Tunis,,,,learned_society;sport_leisure;agricultural_economic,learned_society,12049,239,0.9292
L1912-01602,Légion,10 avril 1911,1911,,Tunis,,"Assistance mutuelle, placement gratuit, soins médicaux,'entrelien de. liens de camaraderie contractés sous le drapeau de la Légion. BUREAU : MM. J.-N. Gung'l, membre actif, président; Seng (IL), m. a. et N..., vice-présidents; Curiel, in. a-., secrétaire; Relier, m. a., trésorier: de Montés, m. a., secrétaire adjoint; Lnmbroso. m. a. et ITabis. m. honoraire, administrateurs. Malgré sa fondation récente, la société a déjà, pu distribuer quelques secours à des légionnaires: et en faire entrer quelques-uns dans les administrations privées. La Sociélé ne fait aucune distinction entre ses membres, ",,mutual_aid,mutual_aid,977,262,0.9565
L1912-01624,Ligue française pour la défense des droits de l'homme et du citoyen,,,,Tunis,,,,,,1054,267,0.9783
L1912-01625,Ligue française de l'Enseignement,14 fév. 1901,1901,,Tunis,400,,,chamber_public_body;national_community,chamber_public_body,3944,267,0.9246
L1912-01829,MONTELS,3 mars 1.843,1843,,Sfax,,,"Brochures politiques diverses sur les Habous en.Tunisie, la situation commerciale, excursions en 'Tunisie, etc. A collaboré"" aux publications : «Progrès de Béziers» 1869; «Réveil International de Genève», 1871; «La Commune» (revue socialiste), 1874; «L'Avanf-Garde», 1877; «L'Union Républicaine de l'Hérault», 1880; rédacteur en chef de «'Tunis-Journal», 1884 à. 1890; «Karakous», 1884 ; correspondant du «Nalional», de «l'Evénement», du «Temps» (1.885 à. 1890). Commandant clu 173' bataillon fédéré, chef de la 13' légion fédérée. Condamné par la cour d'assises de l'Aveyron (1871) à la déportation ",chamber_public_body;learned_society,chamber_public_body,1237,294,0.8876
L1912-01876,Mutualité Commerciale de Tunis,"1"" nov. 1.903",1903,à M'unis,,377,"Moyennant une cotisation de 1 fr. 50 par mois, elle assure n ses membres malades les soins du médecin et les médicaments; 2° les frais d'hospitalisation lorsqu'ils ne peuvent se faire soigner à domicile: 3° une allocation journalière de 1 h-. 50 pendant le cours de leur maladie; 4"" elle a organisé un service de placement destiné à aider les sociétaires dans leurs recherches d'emplois. 377 membres inscrits, des deux sexes. Médaille de bronze Exposition coloniale de Marseille 1.906. Froschamer Georges. 1"" président; Voilera Jules. 2° près.; Morellj, président en 1905 cl 1908. D'après les rapport",,mutual_aid,mutual_aid,1303,300,0.8673
L1912-01877,Mutualité maternelle Israélite,28 avril 1909,1909,,,,"fournir aux indigentes Israélites, à l'occasion de leurs couches, des secours en espèces, ou lait, viande, oeufs, etc.; leur procurer les soins de médecins, sages-femmes et les médicaments nécessaires; mettre à leur disposition de modestes trousseaux pour les nouveau-nés et, en cas de nécessité absolue, leur procurer des nourrices. Ce dernier secours n'est, accordé qu'autant que les ressources le permettent. BUEEAU : MM. Fitous'. si. prés.; Moïse Silbon et Sauveur Kisra'oui, v.-prés.; Félix Sfez, secr.; Elle Guez, très.; Victor Cohen. Elie Khnynl, i Sion Gatigno et, Elie Sln.kmon, membres. Mem",,mutual_aid;religious,mutual_aid,980,300,0.9535
L1912-02005,Patronage des écoles laïques de Tunis,5 août 1909,1909,,Tunis,,"faciliter aux élèves d'origine israélite la fréquentation des écoles exclusivement laïques et venir en aide aux plus nécessiteux d'entre eux par des fournitures de livres, vêtements, chaussures? etc. Malgré des ressources fort restreintes, en raison de la modicité de la cotisation annuelle, fixée à 2 fr., le Patronage a pu venir en aide, depuis sa fondation, à un assez grand nombre d'élèves des deux sexes fréquentant les écoles laïques de Tunis, La Goulette, Le Kef. Bizerte. COMITÉ : MM. Victor Lumbroso, avocat au barreau de T'unis, prés.; D'.l. Boulakia et Dr A. Bonan, v.-prés.; N. M'ayeb, ét",,religious,religious,849,320,0.9441
L1912-02301,Section tunisienne du Comité républicain du Commerce,1909,1909,,,,,,,,251,363,0.9467
L1912-02302,Sections à Bizerte,,,,Bizerte,,,,,,99,363,0.976
L1912-02303,Section tunisienne de la Ligue nationale contre l'alcoolisme,Mars 1902,1902,,Tunis,150,"Lutte contre l'alcoolisme. 150 membres. BUREAU : MM. le D' Cuénod, prés.; Jaulmes et Duffau, v.-prés.; J. Moulin, secr.; Ducas, très.; Alix, Dive, R. Sitbon, D* Rouquié, assess. Ane. prés. : M. le Dr Lemanski. Organise chaque année des conférences publiques et un concours scolaire el publie un bulletin.",,,,421,363,0.9342
L1912-02401,Société Amicale des Deux-Charentes,23 mai 1.905,1905,,Tunis,,"Conseils, appui, assistance aux Cha.rentaîs établis ou cle passage clans la Régence: maintien des liens cle fraternité et de solidarité entre originaires d'une même région. BUREAU : MM. Villatfe. prés,; Roudy et Gauvry. v.-prés.;-Comte, secrétaire; Neau, secr. adj.; Chat, très.; Gaillard, Lambert et Barrion, membres. Ane. prés. : M. Deplancbe. amicalisme et mutualité. Composition du Conseil : MM. Diiuayo, prés.; Rerhault et 1 R. Marot, v.-prés.; . Famechon, secr.. gén.; Tiveyrat, secr. adjoint.; Casanova, très, gén.; Vallée, très, adj.; Angeli, Ar- dl noux, Balouzat, Capet, Cheval, Clavé, s( D","Secours accordés aux Char entais. Société Amicale et d'Assistance mutuelle du Personnel des Travaux oublies de la Régence de Tunis. Direction des Travaux, publics, Tunis.",mutual_aid;chamber_public_body,mutual_aid,913,373,0.9272
L1912-02402,Société Amicale et d'Assistance mu- h< tuelle du Personnel des Travaux publics,1905,1905,,Tunis,300,"Resserrer' les liens de solidarité. Sauvegarder les intérêts o moraux et matériels, procurer gratuite- s: ment les soins des médecins et les mé- ti dicaments, délivrer des secours dans s> certains cas aux membres nécessiteux. e 300 membres actifs, 250 membres adhé- e rents. Ane. prés.: Blondel, Tussac, Durel Auguste, Durel Alphonse, Philippeau. 1"" Resserrer les liens de solidarité entre les agents dirigeants de la Compagnie; 2° Apporter son appui pour la sauvegarde des intérêts moraux et matériels de tous ses membres. BUREAU : MM. Porterie, prés.; Tanguy et Andriny, v.-prés.; Barraquô, secr.; ","Projet de règlement préparé <j en collaboration avec la section tuni- c sienne de l'Association du Personnel des I Travaux publics de France concernant f le personnel des Travaux publics de la t Régence. Projet transmis à M. le Direc- i leur général des Travaux publics. < i Société Amicale et d'Assistance mutuelle du Personnel dirigeant des chemins de fer du Bône-Guelma et Prolongements. Autorisée par décret en date du 1"" juillet 1909.",mutual_aid,mutual_aid,1265,374,0.8945
L1912-02403,Société Anonyme Franco-Africaine des Pâtes d'Alfa,,,", 4, rue de Stockholm, Paris; bureau à Tunis, 14, rue d'Espagne",Tunis,,,,,,425,374,0.9417
L1912-02404,Société Archéologique de Sousse,,,,Sousse,,,,learned_society,learned_society,212,374,0.9402
L1912-02405,Société d'Apiculture de Tunisie,,,,Tunis,,,,,,227,374,0.947
L1912-02406,Société des Alsaciens et Lorrains en Tunisie,1889,1889,,Tunis,102,"Resserrer les liens qui unissent dans un même sentiment de fraternité et d'amour pour la France tous les enfants de la Lorraine et de l'Alsace. 102 membres actifs. MM. Michaux, prés.; Lepage et Grùndler, v.-prés.; Fleurette, très.; Weber, secr.; Durmeyer, Grosdemange, Jean Collas, Schlumberger, Thiaucourt,Tremsal, Wirtensohn, membres. Ane. prés.: M. le D' Schoull (président honoraire), qui a quitté ses fonctions en 1907.",Placement de nombreux compatriotes; prêts d'honneur aux Alsaciens et Lorrains nécessiteux. Fondation en 1908 d'une bibliothèque composée d'ouvrages intéressant la Lorraine et l'Alsace. Organise un banquet annuel et des fêtes de l'arbre cle Noël.,,,745,374,0.9345
L1912-02407,Société des Anciens Chasseurs d'Afrique résidant en Tunisie,Nov. 1903,1903,,Tunis,70,"Aider les membres et les chasseurs d'Afrique sortant du régiment à trouver un emploi convenable; leur venir en aide en cas de besoin; rapprocher et réunir les sociétaires par dés sentiments de bienveillance et de fraternité. Prés, d'honn., le Général comm. la brigade cle cavalerie de Tunisie; Prés. . honor., le Colonel commandant le 4"" . régiment de chasseurs d'Afrique; prés, d'honn. .actif, M. le capitaine d'élat-major de réserve Fleury. MM. le capitaine Epailly, prés, actif; le capitaine Boyé et Esprangle,v.-prés.; Plouchart, secr.; Monnier, secr. adj.; Ville, très.; Picart, très, adj.; Bonr",,sport_leisure,sport_leisure,810,374,0.9366
L1912-02409,Société des Anciens Elèves des Ecoles nationales d'Arts et Métiers,1892,1892,,Tunis,30,"Resserrer le plus possible les liens de bonne camaraderie acquis à l'école;' aider les jeunes à se créer une situa- . tion; venir en aide aux sociétaires malheureux, etc. BUREAU : MM. Patriarche, prés.; Gé- . rard et Stoll, v.-prés.; Aubertin, secrétaire-trésorier. Ane. prés'.: MM. Barbarin et Sub. Réunion le premier samedi de chaque mois, à 5 h. J, au «Café de France».",,alumni,alumni,491,374,0.9275
L1912-02410,Société des Aviculteurs de Tunisie,20 juin 1906,1906,"hôtel des Société française; secrétariat, 32, av",,150,"Seconder le développement des progrès de l'élevage de la volaille en Tunisie. 150 membres. BUREAU : Ed. Labbé, prés.; de Fontbrune et Monrozier, v.-prés.; G. Nicol, secr.-trés.; M"""" Duprez et Monrozier et MM. Richard, Dumont, Courehet et Hafsid, conseillers.","Exposition annuelle; encouragements aux importations, à la sélection, aux croisements ; enseignement avicole. Bulletin paraissant tous les deux mois. De nombreuses installations d'élevage rationnel seront créées; beaucoup d'autres seront améliorées. La question avicole, qui a pris un si grand essor en France depuis quelque temps, est aussi d'un grand intérêt en Tunisie, où les animaux de basse-cour croissent bien et forment un appoint aux ressources du pays. Le climat, l'insécurité dans les campagnes, la maladie, qui est très répandue, l'indifférence du grand nombre sont des obstacles à son .d",sport_leisure,sport_leisure,1133,374,0.9554
L1912-02412,Société des Combattants contre l'Allemagne en 1870-71,,,,Tunis,,,,,,317,375,0.8928
L1912-02413,Société d'Elevage de la vallée de la Medjerda,Février 1907,1907,Medjez-el-Bab,,80,"Amélioration de la race locale «bovine» par la . sélection. BUREAU :MM. Florian Ducurtil, prés.; Julien Martin et Achille Raffin, v.-prés.; Moraud, très.; Jacques, secr.; Cheikh Ben Sadok et Blanc, conseillers.","• organisation cle deux concours; le premier n'a porté que sur le bétail «bovin»; le second sur le bétail, la laiterie et la. production fourragère. La Société renseigne ses adhérents sur les essais qui ont été faits en élevage soit par divers croisements, importalions, etc. Réunion dans son local à Medjez-elBab, le deuxième lundi de chaque mois. Le concours a lieu chaque année en avril, à Medjez-el-Bab. Il permet de suivre les progrès accomplis et les sujets primés dans leur descendance. Il a été distribué Ï.500 fr. de primes au dernier concours.",,,914,376,0.9438
L1912-02414,Société des Enfants du Centre en Tunisie,,,,Tunis,,,,,,123,376,0.9203
L1912-02415,Société des Enfants du Gard en Tunisie,30 mars 1907,1907,,Tunis,110,"La société vient en aicle, suivant ses ressources, aux membres actifs. BUREAU : MM. Randon, prés.; Baille et Barthélémy, v.- prés.; Gués, secr.; Maurin, secr. adj.; Daniel, Junaud, Figuière, Rainaud, Dufour (père) et P. Faure, commissaires. Ane. prés., M. Bouix.",,,,365,376,0.9188
L1912-02416,Société Es Sadia,,,"24, av",,,,,agricultural_economic,agricultural_economic,709,376,0.9506
L1912-02417,Société «La Française»,,,,Tunis,,,,sport_leisure,sport_leisure,460,376,0.9218
L1912-02418,Société Française de Bienfaisance de Bizerte,1901,1901,,Bizerte,80,"Assister les Français indigents el leur procurer clu travail; faciliter le retour en France de ceux sans moyens d'existence; donner des secours aux malades, infirmes, vieillards, enfants. Consultations gratuites. MM. le D' Foulquier, prés.; Angladc et Lacorre, v.-pr. ; Moulin, très.; Laballe, secr.; Dumas, Debar, Bailleul, Anouilh, Franchebois, Naud, Tuzel-S'- Paul, Marchet, Vial, commiss. Ane. prés., M. le capitaine en retraite Ray naud.",,mutual_aid,mutual_aid,526,376,0.947
L1912-02419,Société Française de Bienfaisance de Sousse,,,,Sousse,2,,,mutual_aid,mutual_aid,148,376,0.9258
L1912-02420,Société Française de Bienfaisance de Tunis,,,,Tunis,400,,,mutual_aid;agricultural_economic,mutual_aid,3461,376,0.9397
L1912-02421,Société Fraternelle - de Secours .mutuels du Personnel de la Police tunisienne,"1"" juillet 1905",1905,"rue de Conslàntine (commissariat cle police), à Tunis",Tunis,5,,,chamber_public_body,chamber_public_body,1072,377,0.9155
L1912-02422,Société des Garibaldiens,Février 1.893,1893,"avenue Jules-Ferry, n° 23",,200,"resserrer les liens cle fraternité et de mutuel secours entre tous ceux qui prouvent, avec des titres légaux, avoir contribué, de quelque manière que ce soit, à. la défense cle la patrie; conserver, par les oeuvres el la propagande, le respect, l'amour et la dévotion à la maison de Savoie et le prestige du nom italien à l'étranger. 200 sociétaires, y compris les survivants des glorieuses phalanges garibaldiennes. Siège social : avenue Jules-Ferry, n° 23. BUREAU : S. M. le roi d'Italie Victor Emmanuel III. président d'honneur; MM. D. Gerini', prés.; le D' Gius. Piraino et Inglese Ant., v.-prés.",Etudes diverses sur le régime économique cle la Tunisie; conférences; Congrès national des Sociétés françaises de Géographie en 1904.,learned_society;alumni;masonic;agricultural_economic,learned_society,1749,377,0.9356
L1912-02423,Société de Géographie Italienne,Juillet 1906,1906,,Tunis,80,"Outre le but général de la. Société la Section s'occupe de faire connaître aux Italiens la région tunisienne pour favoriser toujours le commerce entre la patrie et la. Régence. D' C. Ortona, prés.; D' cav. uff. G. i Errera, v.-prés.; prof. cav. L. d'Ales- t sandro, secr.; cav. A. Disegni, très.; i prof. cav. V. Corlesi, biblioth.; cav. < uff. Giuseppe Attia, cav. uff. D' Pietro Brignone, cav. Cesàre Fabbri, cav. prof. Luigi Mascia, E. Nani, cav. prof. Saivatore Canino, conseillers.","«Les mines de la Tunisie», par V. Berolsheimer.",learned_society;national_community,learned_society,650,377,0.9325
L1912-02424,Société Hippique et des Courses de Tunis,1SS8,1888,,Tunis,,"Encouragement el amélioration de la race chevaline. MM. le baron Fleury, prés.; Proust, prés. lion, de la Municipalité 'de Tunis, v.-prés.; le colonel de Buyer, commandant île 4"" chasseurs d'Afrique, secr..; Truelle, très.; commissaires : MM. Geoffroy-Saint-I-lilaire, inspecteur de l'élevage, Berkeley, consul général d'Angleterre, Borde, rédacteur au vice-consulat de France à Tunis, comm. Defrance, Fritz Massini, propriétaire à Mateur, capitaine Le Gorrec, 4° chass. d'Afrique, comm. Le Rond, 6' d'artillerie, comte du Peyroux, industriel, Ravasini, conseiller municipal, Robin, industriel, Zarro",,sport_leisure,sport_leisure,1089,378,0.9376
L1912-02425,Société d'Horticulture de Tunisie,1900,1900,hôtel des Sociétés françaises,,750,"Amélioration de l'horti culture, des cultures maraîchères et fruitières ; développement du goût des fleurs ; encouragement à la création de jardins; rapprochement des personnes s'intéressant à l'horticulture par le Bulletin, organe de la Société : la «Revue horticole, apicole, avicole tunisienne»; par les concours et expositions organisés annuellement ; par la distribution gratuite de graines destinées à propager' les meilleures variétés, à essayer les nouvelles. Médaillé d'or à l'Exposition de Marseille 1906; Médaille de vermeil à l'Exposition de Tunis 1907. BUREAU : MM. Giraud,prés.; D' Braq",,sport_leisure,sport_leisure,888,378,0.9383
L1912-02426,Société internationale des Amis des Arbres,27 juillet 1905,1905,hôtel des Soc,,600,"contribution à la mise en valeur de.la propriété privée et au développement de la richesse publique en encourageant la plantation, la propagation, l'amélioration et la protection de tous les végétaux ligneux, forestiers, fruitiers ou décoratifs, indigènes ou exotiques, isolés ou en massifs pouvant croître dans la Régence. 600 membres. Médaille d'argent Marseille 1906; médaille d'argent Tunis 1907. Conseil central : MM. Giraud, prés.; Barrion et Gounot, v.prés.; M. Houdebine, secr. gén.; Marcias et Prétrel, secret, adj. L'Association a quatre sections. Section de Tunis : MM. le D' Braquehaye, p",,chamber_public_body;sport_leisure,chamber_public_body,1067,378,0.9246
L1912-02427,Société Israélite de Secours matrimoniaux et mutuels,,,,Tunis,,,,religious,religious,356,378,0.9454
L1912-02428,Societa italiana di beneficenza,1898,1898,,Tunis,,"venir en aide aux besogneux. 150 memb. BUREAU : Présid. d'honn. M. le comm. Bottesini, consul général d'Italie; MM. A. Rey, prés.; Dr Cardoso, v.-prés.; Camille, secr.; N..., très.; Cesana, Ugo Moreno, Clément Modigliani, Adolphe Disegni, D* A. Valensi, G. Messana, A. Rerrera, Dario, G. Fiorentino, B. Attia, Modigliani, P. Patti, conseillers. Ane. prés. : cav. uff. D' P. Brignone. Cette Société reçoit les subventions suivantes : du Gouvernement italien, 12.000 fr.; du Gouvernement tunisien, 1.000 fr.; de la Société ouvrière de Tunis, 30 fr., etc.",,mutual_aid;national_community,mutual_aid,655,378,0.9324
L1912-02429,Société musulmane de Bienfaisance de Bizerte,10 sept. 1907,1907,,Bizerte,,,,mutual_aid,mutual_aid,399,378,0.8992
L1912-02430,Societa Nazionale «Dante Alighieri»,1891,1891,,Tunis,300,"propa- ger partout à l'étranger, tant au milieu des compatriotes que chez les personnes cultivées de toute autre nationalité, l'étude de la langue italienne et de ses meilleurs écrivains. 300 membres environ. Médaille d'argent du Conseil central de Rome, 1900; Médaille d'or à l'Exposilion de Milan, 1906. BUREAU : MM. Bottesini, prés., d'honn. Brignone Pietro, prés, effect. ; Massia Luigi et Moreno Ugo, v.-prés.; d'Alessandro Luigi,secr.; Modigliani Clément, très.; Cohen Alfredo, très, adj.; Bonanni Cesidio, biblioth.; Calo Enrico, Cesana Luciano, Levi Guglielmo, Ravasini Guido, Salvo Salvalor,",,chamber_public_body;sport_leisure;national_community,chamber_public_body,1060,378,0.9401
L1912-02431,Société philodramatique internationale «l'Avvenire»,"1"" octobre 1905",1905,,Tunis,60,"Cultiver l'art dramatique el procurer aux sociétaires et à leurs familles des amusements éducatifs. 1.60 sociétaires, en majorité italiens. BUREAU : MM. le D' D'Ancona Giuseppe, prés, depuis la fondation; De Marlino Francesco et Milaui Erice, v.- prés.; Mannina Saverio,' Livolsi G(iuseppe et Salmieri Giuseppe, conseillers; Frixione Giovanni, dir. arlist. ; Azzopardi Alfredo, secr.; Gtiaca\lone Dino, très. ' Ane. dir. artist. : M. Buonofedi Giovanni, 1905-06.",,,,581,379,0.8851
L1912-02432,Société de préservation contre la tuberculose,,,,Tunis,,,,,,488,379,0.9299
L1912-02433,Société Protectrice des Animaux,1910,1910,,Sfax,60,"favoriser un mouvement d'amitié et de solidarité entre tous les membres et prêter aide et assistance aux Provençaux méritants. 92 membres. BUREAU : Prés, d'honneur, MM. Frédéric Mistral, le Résident Général et H, Michel, député d'Arles; prés, non., M. Dumergue, vice-président de la Municipalité. MM. Jules Saurin, prés.; Aug. Saunier, v.- prés.; Charbonnel, secr.; G. Ott, très.; Astès, Raoul Daul, Aug. Ollivier, Pesanty, Revelli, commissaires. Ane. prés. : MM. Piétra, Imbert, Dumergue, Mercier.",,sport_leisure,sport_leisure,806,379,0.9392
L1912-02435,Société des Savoyards résidant en Tunisie,,,,Tunis,,,,,,157,379,0.9476
L1912-02436,Société des Sciences commerciales,,,,Tunis,,,,,,275,379,0.9656
L1912-02437,Société des Sciences médicales,1898,1898,"49, rue Al-Djazira, entrée par la rue d'Ecosse",,,"Questions d'hygiène sociale et urbaine; ces questions y font ! l'objet de nombreuses discussions. Des voeux y sont soumis et transmis aux Pouvoirs publics clans l'intérêt de la salubrité publique; ces voeux ont presque toujours été pris en considération. La. Société .publie mensuellement le «Bulletin des travaux de la Société des Sciences médicales de Tunis». Le Comité de rédaction de ce Bulletin se compose de : MM. le D' Plancke, prés.; Cassuto, secr. cle rédaction; Braquehaye, Cortési, Lemanski, Sora, Loliroff,membres. BUREAU : D' Plancke. prés.; D' Lévy. v.-prés.; D1 Cassulo, secr. gén.; D'",,learned_society,learned_society,1377,379,0.9262
L1912-02438,Société de secours mutuels et de retraite des sapeurs-pompiers de Tunis,1894,1894,,Tunis,,"soins médicaux et pharmaceutiques gratuits; indemnité de 1 fr. 50 par jour de maladie; 360 fr. cle retraite à 50 ans au moins et 25 ans cle sociétariat. Avoir social : environ 45.000 fr. 44- membres actifs a jour avec la caisse. BUREAU : MM. Duplay, prés, depuis la fondation ; Curlelin et Forcioli, v.- prés.; Barsolti, secr.; N..., très.; Duclos, Mole, Coste Placide, administrateurs.",,mutual_aid,mutual_aid,471,380,0.9023
L1912-02439,Société Sportive « la Musulmane »,avril 1.905,1905,,Tunis,11,,,chamber_public_body;sport_leisure,chamber_public_body,1841,380,0.9509
L1912-02440,Société de Tir de Tunis,1898,1898,«Brasserie clu Phénix»,,56,,,,,324,380,0.9343
L1912-02441,Société tunisienne des Hôteliers,7 déc. 1907,1907,,Tunis,,1° Resserrer les liens qui doivent unir entre eux les hôteliers el restaurateurs cle Tunisie; 2° développer l'industrie hôtelière en Tunisie et clans l'Afrique du Nord à l'aide d'une propagande raisonnée et collective afin d'attirer le plus grand nombre d'étrangers possible; 3° provoquer toute mesure de nature à contribuer à. la prospérité de l'industrie hôtelière et clu pays; 4° défendre par tous les moyens légaux el en toutes circonstances les intérêts des membres cle l'Association. Nombre de membres : 400. Diplômes d'honneur aux Expositions touristiques cle Trondhjem et Bergen (Norvège) et ,"1.0.000 cartes-affiches «Tunisie» et 150.000 brochures descriptives illustrées et notices de propagande en faveur de l'hivernage dans les trois textes français, anglais et allemand disIribuées à. ce jour dans le monde entier; création de nouvelles agences de renseignements sur la Tunisie, en Europe et en Amérique; publicité dans les grandes revues de tourisme el de sports; conférences, intervention dans les questions d'ordre économique el commercial ayant trait surtout à l'augmentation el l'amélioration des Services maritimes; organisation cle fêtes el fantasia, arabes au vélodrome municipal d",professional_union;learned_society;sport_leisure;national_community;agricultural_economic,professional_union,2818,380,0.9512
L1912-02446,Solidarité Sfaxienne,Juin 1903,1903,,,30,"Faire respecter la. volonté des testateurs. 30 membres, dont 5 daines. BUREAU : M. ,1. Montels, M"""" Louise Aclqun, M. Choller.",,,,196,381,0.903
