entry_id,place_name,controle_civil,caidat,annexe,distance_km,distance_from,population,altitude_m,tribe_mentioned,owners_raw,has_railway_station,has_school,has_post_office,has_market,has_roman_ruins,archaeology_raw,n_chars,page_first,ocr_confidence
L1912-00440,BOU-REMADA,Tunis,Zaghouan,,,,,,,"achetée par le Domaine aux Habous et divisée en trois lols:l"" lot, Bou-Remacla (120 hect",0,0,0,0,0,,320,73,0.9238
L1912-00446,BOU-SAADIA,Mactar,Ouled-Aoun,,,,,,,,0,0,0,0,0,,326,75,0.88
L1912-00447,BOU-SABIOUN,Mactar,Oulacl-Aouii,,,,,,,,0,0,0,0,1,,115,75,0.9243
L1912-00459,Brigade mobile,,,Teboursouk,,,,,,,0,0,0,1,0,,566,77,0.9266
L1912-00486,Caïdat de la banlieue,,Tebourba,,,,5000,,,,0,0,0,0,0,,401,83,0.9448
L1912-00498,CAMP-DE-LA-SANTÉ,Souk-elArba,AïnDraham,Tabarca,8,AïnDraliam,,,,,0,0,0,1,0,,204,86,0.91
L1912-00500,CAMP-SERVIÉRE,Grombalia,Cap-Bon,,,,,,,,1,0,0,0,0,,153,86,0.8885
L1912-00509,CAP-BLANC,Bizerte,Bizerte,,,,,,,,0,0,0,0,0,,99,88,0.9387
L1912-00510,CAP-BON,Grombalia,Cap-Bon,,,,,,,,0,0,0,0,0,,4786,88,0.9387
L1912-00513,CAP SERRAT,Bizerte,,,,,,,,,0,0,0,0,0,,103,89,0.934
L1912-00514,CAP ZEBIB,,,,9,Ras-el-Djebel,,,,,0,0,0,0,0,,77,89,0.9045
L1912-00526,CARTHAGE,Tunis,la banlieue,,16,Tunis,,,,,0,0,0,1,1,,3794,91,0.9625
L1912-00541,CAVES,Tunis,la banlieue,,,,,,,,1,0,0,0,0,,136,99,0.915
L1912-00543,CEDALA,Gafsa,Djerid,,7,Degache,900,,,,0,0,0,0,0,,120,99,0.9527
L1912-00544,CEDOUIKECH,Gabès,l'Arad,,9,El-Kantara et à 11 k,,,,,0,0,0,1,0,,198,99,0.95
L1912-00545,CEDRIANE,Gabès,,,,,,,,,0,0,0,0,0,,114,99,0.937
L1912-00564,CHAABET-ER-REBIA,Souk el-Arba,Aïn-Draham,,10,Tabarka,,,,,0,0,0,1,0,,98,101,0.9437
L1912-00566,CHABET-EL-GUEMEL,Soukel-Arba,AïnDraham,,7,Tabarca,,,,,0,0,0,1,0,,95,101,0.9407
L1912-00567,CHABIA,Gafsa,Djerid,,2,Tozeur,900,,,,0,0,0,0,0,,90,101,0.9567
L1912-00568,CHABOUNI,Sfax,Sfax,,6,Sfax,,,,,0,0,0,0,0,,243,101,0.9314
L1912-00571,CHAHAL,Sfax,Sfax,,50,Sfax,,,,,1,0,0,0,0,,144,102,0.8938
L1912-00579,Chambre de Commerce de Bizerte,,,,,,,,,,0,0,0,0,0,,484,103,0.8715
L1912-00584,Chambre mixte du Sud,,,Djerba (1 m,,,,,,,0,0,0,0,0,,814,105,0.9015
L1912-00587,CHAMPENOISE,Sfax,Sfax,,,,,,,,0,0,0,0,0,,75,105,0.958
L1912-00588,CHAOUACH,Béja,Medjez-el-Bab,el caïdat de Medjez-el-Bab,,,,,,,1,0,0,0,1,,745,105,0.9646
L1912-00590,CHAOUAT,Tunis,la banlieue,,,,,,,"M"""" Lagrenôe, 2",1,0,0,0,0,,403,105,0.8952
L1912-00597,CHARLOTTE-BORDI,Sfax,Sfax,,20,Maharès,,,,,0,0,0,0,0,,75,107,0.9687
L1912-00601,CHASSART-TEFAHA,Béja,Medjez-el-Bab,Medjez-el-Bab,8,Medjez-el-Bab,,,,,0,0,0,0,0,,138,108,0.976
L1912-00609,CHEBBA,Sfax,Sfax,,25,Ksour-Essàf,4000,,,,0,1,0,0,0,,494,110,0.934
L1912-00622,CHEMTOU,Souk-el-Arba,la,,,,,,,"MM. Duchapt, de Torez, Tempach, Mudry, etc",1,0,0,1,1,,2970,112,0.9771
L1912-00624,CHÊNES,Souk-el-Arba,Aïn-Draham,,7,Aïn-Draham,,,,,0,0,0,1,0,,2824,113,0.9493
L1912-00626,CHENINI,,Ourghamma,,23,Foum-Tatahouine,,,,,0,0,0,0,0,,92,113,0.966
L1912-00627,CHENINI-DE-GABÈS,,l'Arad,,6,Gabès,3000,,,,0,0,0,0,0,,165,113,0.948
L1912-00639,CHGARNIA ou CHEGARNIA,Sousse,Sousse,,,,,,,,0,0,0,0,1,"c'est l'antique «Uppena»; restes encore élevés d'un castellum en grand appareil ^.queduc, basilique où ont été faites, sur les indications de la Société Archéologique de Sousse, des fouilles qui ont mis à jour un grand nombre de mosaïques funéraires très remarquables, portant les noms de prêtres, de saints, d'évèques ,ete. ENVIRONS : Entre Enfidaville et Chgarnia, restes d'une autre basilique où ont également été trouvées des mosaïques. Toutes ces représentations ont été transportées clans la petite église d'Enfidaville. D' L. C.",602,114,0.9816
L1912-00646,CHOUARBIA,Maclar,Ouled-Ayar,,5,Souk-el-Djemaâ et à 11 k,60,,,,0,0,0,1,0,,137,115,0.9125
L1912-00648,CHOUCHET - ED - DOUARIA,Bizerte,Mateur,,3,Sedjenane,,,,,0,0,0,0,0,,806,115,0.9667
L1912-00649,CHÔUTRANA,Tunis et caïdat de la banlieue,la banlieue,,,,,,,"MM. Dumont, 30 hect",0,0,0,0,0,,249,115,0.9376
L1912-00663,Clinique populaire pour les maladies des yeux,,,,,,,,,,0,0,0,0,0,,2137,118,0.9163
L1912-00692,Comité permanent des fêtes de Tunis,,,,,,,,,,0,0,0,0,0,,991,123,0.9324
L1912-00726,Contrôle civil,,,,,,,,,,0,0,0,0,0,,380,133,0.9595
L1912-00727,Contrôle civil de Tunis,Béja,la ap lupii» o\ 30 •muuj,Medjezel-Bab (caïdals de Béja e,,,,,,,0,0,0,1,0,,1111,133,0.9381
L1912-00728,Contrôleur civil,,,,,,,,,,0,0,0,0,0,,3101,133,0.9591
L1912-00729,Contrôleur civil suppléant,,,,,,,,,,0,0,0,0,0,,1089,133,0.9592
L1912-00753,CRÉTÉVILLE,Tunis,la banlieue,,,,,,,,1,1,0,0,0,,751,140,0.9289
L1912-00772,DAMOUS,Sousse,Monastir,,6,Djemmal,1300,,,,0,0,0,0,0,,94,146,0.8733
L1912-00780,DAR-BEL-OUAR,,,,13,Enfidaville,,,,,0,0,0,0,0,"Bordj près de la station de Menzel-Dar-bel-Ouar, à 13 kil. d'Enfidaville, ligne de Tunis à Sousse, connu surtout par l'immense nécropole mégalithique, à. tombes en forme de dolmens, qui l'entoure. D' L. C.",254,146,0.9716
L1912-00782,DAR-DJENDI et de KEGHLA réunis,Grombalia,Cap-Bon,,,,,,,"de 540 hectares, tous cultivables, achetées en 1907, desservies soit par une rouie conduisant à la gare de Menzel-bou-Zelfa et de là à Tunis, soit par l'appontement de Sidi-Rais",1,0,0,0,0,,536,146,0.942
L1912-00784,DAR-EL-BIDA,Tunis,la,,,,,,,MM. Tesi frères,0,0,0,0,0,,267,147,0.9314
L1912-00796,Dechra,,,,,,,,,,0,0,0,0,0,,237,149,0.9724
L1912-00797,DECHERA-BENT-SAIDANE,Tunis,Zaghouan,,4,Djouggar et a 15 kil,200,,,,0,0,0,0,0,,257,149,0.958
L1912-00798,DECHERA-EL-OUSALTIA,Souk-el-Arba,Djendouba,,15,Souk-el-Arba,,,,,0,0,0,1,0,,108,149,0.924
L1912-00799,DECHERA - MANSOURAH,Mactar,Oulad-Ayar,,35,Maktar,,,,,0,0,0,0,0,,99,149,0.909
L1912-00800,DECHERA-SIDI-MEDIANE,,Zaghouan,,12,Zaghouan,,,,,0,0,0,0,0,,98,149,0.8607
L1912-00805,DEGACH,Gafsa,Djerid,,12,Tozeur,,55,,M. Martel,0,0,0,1,0,,278,150,0.897
L1912-00806,DEGHAGHA,,,Tatahouine,,,,,,,0,0,0,0,0,,104,150,0.9313
L1912-00815,DELAYA,Souk-el-Arba,Oulad-bou-Salem,,8,Souk'-el-Khemis,,,,,0,0,0,1,0,,98,151,0.9287
L1912-00831,DEPIENNE,,,,,,,,,,1,1,0,0,0,,267,154,0.8393
L1912-00861,DJAFFAR,Tunis,la banlieue,,,,,,,"M"""" Lagrenée, MM",0,0,0,0,0,,213,158,0.9475
L1912-00864,DJALTA,Bizerle,Mateur S,,,,,,,,1,0,0,0,0,,111,158,0.8847
L1912-00867,DJAMOUR,Grombalia,Cap-Bon,,,,,,,,0,0,0,0,0,,129,158,0.9803
L1912-00868,DJARRA,,,,,,5500,,,,0,0,0,1,0,,120,158,0.901
L1912-00869,DJEBBA,Kef,Teboursouk-,,25,Soiik-el-Khemis,,,,,0,0,0,1,0,,363,158,0.8827
L1912-00871,DJEBEL-ABIOD,Béja,,,,,,,,,0,0,0,0,0,,155,158,0.9015
L1912-00872,DJEBEL-AHMAR,Tunis,,,5,Sidi-Tabet,,,,"MM. Bonnard, Licari, 11",0,0,0,0,0,,188,158,0.9142
L1912-00873,DJEBEL-AZERED,Tala,Frechich,,60,Tébessa,,,,,0,0,0,0,0,,305,158,0.9189
L1912-00874,DJEBEL-BEN-AMAR,Béja,Béja,,,,,,,,0,0,0,1,0,,251,158,0.8927
