entry_id,place_name,controle_civil,caidat,annexe,distance_km,distance_from,population,altitude_m,tribe_mentioned,owners_raw,has_railway_station,has_school,has_post_office,has_market,has_roman_ruins,archaeology_raw,n_chars,page_first,ocr_confidence
L1912-01028,EL-DJEM,Sousse,Sousse,,69,Sousse el à 42 kil,3000,,,,1,1,0,1,1,"L'ancien Thysdrus, célèbre par son magnifique amphithéâtre si imposant et qu'on aperçoit de très loin dans la plaine. Un village arabe bâti avec ses débris, l'entoure. On voit encore, dans ces ruines, remplacement d'un autre amphithéâtre, celui de l'hippodrome; des thermes qui, récemment déblayés, ont beaucoup souffert des déprédations des indigènes, des citernes publiques, un édifice orné de nombreuses colonnes qu'une roule faite récemmenl a mis au jour. On y a signalé aussi les vestiges d'une citadelle et un énorme chapiteau en marbre blanc, de jour en jour plus mutilé. Dr L. C.",895,175,0.9527
L1912-01030,EL-FEIJA,Souk-el-Arba,La Regba,,22,Gharclimaou,,,,,0,0,0,1,0,,249,175,0.9407
L1912-01033,EL-GUETMA,Bizerte,Mateur,,40,Michaud,,,,,0,0,0,0,0,,99,175,0.9677
L1912-01034,EL-GUETTAR,Gafsa,Gafsa,,,,,,,,0,0,0,0,0,,120,175,0.9295
L1912-01035,EL-GUETTAR,,,,21,Gafsa,2000,,,,0,0,0,1,0,,215,175,0.864
L1912-01037,EL-HAFFEY,Gafsa,Gafsa,,70,Gafsa sur la route de Gabès,,,,,0,0,1,0,1,,209,176,0.9727
L1912-01038,EL-HAMMA,,l'Arad,,,,,,Beni-Zid,,0,1,0,0,1,,910,176,0.9457
L1912-01039,EL-HAMMA-DU-DJERID,Gafsa,Djerid,,10,Tozeur,1500,,,,1,0,0,0,1,,546,176,0.9546
L1912-01040,EL-HAOUID,Bizerte,Bizerte,,,,,,,,0,0,0,0,0,,81,176,0.9025
L1912-01041,"EL HARRICR""",Kef,Teboursouk,,6,Teboursouk,,,,"MM. Robert, Julien, Vernay, capitaine Gondoun, di Codon, Rivière,Ménard, Girard, etc",0,0,0,1,0,,252,176,0.9436
L1912-01042,EL-HERI,Tunis,la banlieue,,23,Tebourba,,,,,1,0,0,0,0,,194,176,0.8512
L1912-01043,EL-HOUFIA,Béja,Béja,,,,,,,-: M,0,0,0,0,0,,421,176,0.9194
L1912-01044,EL-IMAIA,Gabès,lArad,,,,,,,,0,0,0,1,0,,82,176,0.952
L1912-01045,EL-KANTARA,Gabès,l'Arad,,25,Houmt-Souk,,,,,0,0,0,1,1,,341,176,0.9391
L1912-01047,EL-KEBRARIA,Tunis,la banlieue,,,,,,,"MM. Gaiser, Borrion, Jullien",0,0,0,0,0,,90,176,0.9577
L1912-01048,EL-KEBIRA,Souk-el-Arba,Ouled-bou-Salem et Chiahia,,,,,,,M. de Villeneuve,0,0,0,1,0,,182,176,0.9058
L1912-01050,EL-KSAR,Gafsa,Gafsa,,2,Gafsa,550,,,,0,0,0,0,0,,148,176,0.8475
L1912-01051,ELLES,Kef,Kef,,16,Sers,,,,,0,0,0,0,0,"Célèbres tombes mégalithiques,composées de plusieurs Chambres, aux couloirs en pierres de dimensions énormes. D' L. C.",206,176,0.9388
L1912-01053,EL-LOUZA,Sfax,Sfax,,,,700,,,"MM. Walker, Debono, Awocato, Gily, etc",0,0,0,0,0,,162,177,0.9482
L1912-01054,EL MABROUK,,,,,,,,,,0,0,0,0,0,,276,177,0.9194
L1912-01055,EL-MAI,Gabès,,,10,Djerba,,,,,0,0,0,0,0,,83,177,0.9507
L1912-01056,EL-MECHREF,Mactar,Ouled-Ayar,,11,Mactar,75,,,,0,0,0,1,0,,164,177,0.8642
L1912-01057,EL-MELLAHA,Tunis,la banlieue,,20,Chuiggui,,,,,0,0,0,0,0,,77,177,0.919
L1912-01060,EL-METHOUIA,Gabès,l'Arad,,14,Gabès,1700,,,,0,0,0,1,0,,218,177,0.9695
L1912-01061,EL-MOENSA,,Ourghamma,,3,Zarzis,,,,,0,0,0,0,0,,92,177,0.9603
L1912-01063,EL-OUBIRA,Thala,Frechich,,,,,,,,0,0,0,0,0,,66,177,0.9455
L1912-01064,EL-OUDIANE,Gafsa,Djerid,,10,Tozeur,00,,,,0,0,0,0,0,,182,177,0.9612
L1912-01068,ENCHIR-DJEBBEUS,Tunis et caïdat de Zaghouan,Zaghouan,,,,,,,"MM. Pestouri, Goueyttant, etc",0,0,0,0,0,,93,177,0.9777
L1912-01069,ENCHIR-GRIOUIA,Tunis,Zaghouan,,,,,,,"MM. Demoulin, Gloneux, Pichat, Kriéger, etc",0,0,0,0,0,,104,177,0.9783
L1912-01071,ENCHIR-RIHANA,Kef,Teboursouk,,,,,,,M. Goudouin,0,0,0,1,0,,177,177,0.9294
L1912-01076,ENFIDAVILLE,Sousse,Sousse,,50,Sousse,,,,,1,1,0,0,0,,1180,178,0.9584
L1912-01077,ENFIDA,,Sousse,,,,,,,,0,0,0,0,0,,1338,178,0.9631
L1912-01092,EPARGNEVILLE,Sfax,Sfax,,23,Mabarès,,,,,0,0,0,0,0,,66,181,0.948
L1912-01100,Espagnols,,,,,,,,,,0,0,0,1,0,,511,183,0.8597
L1912-01115,FAHS,Tunis,Zaghouan,,,,,,,,0,0,0,0,1,,357,186,0.9744
L1912-01120,FATH-ALLAH,Tunis,la banlieue,,,,,,,,1,0,0,0,0,,141,186,0.9527
L1912-01123,FAUCONNERIE,Sfax,Sfax,,20,Sfax,,,,,0,0,0,0,0,,75,186,0.975
L1912-01127,FEDJ-ASSÊNE,Kef,Kef,,,,,,,,0,0,0,1,0,,265,187,0.8853
L1912-01128,FEDJ-ADOUM,Kef,,,40,Teboursouk' el à 60 de Medjez-e,,,,,0,0,0,1,0,,247,187,0.924
L1912-01129,FEDJ-ET-TAMEUR,Ker,Tadjerouine,,10,Djerissa,,,,,1,0,0,0,0,,200,187,0.9008
L1912-01130,FEDJ-ROUMANE,,,,,,,,,,0,0,0,0,0,,63,187,0.9735
L1912-01136,FERIANA,Tala,Frecbich,,,,1500,,,,1,1,0,0,1,,847,187,0.9502
L1912-01137,FERME BLANCHE,Bizerte,Bizerte,,1,La Pêcherie,,,,M. Couvreux,0,0,0,0,0,,90,187,0.9753
L1912-01138,FERME DEVILLE,Grombalia,Cap-Bon,,13,Kelibia,,,,,0,0,0,0,0,,79,187,0.9723
L1912-01140,FERME GIORDAN,Souk-elArba,,,,,,,,"de 20 hectares, k 7 k",0,0,0,1,0,,124,187,0.921
L1912-01141,FERME HUGON,Souk-el-Arba,Ouled-bou-Salem et Chiha,,13,Soukel-Khemis,,,,de 100 hect,0,0,0,1,0,,152,187,0.9592
L1912-01142,FERNANA,Souk-el-Arba et caïdat de Djend,Djendouba,,22,Souk-el-Arba et à 18 k,,,,", MM",0,0,0,1,0,,240,188,0.9301
L1912-01146,FERRYVILLE,,Bizerte et à,,,,7000,,,,0,1,0,0,0,,597,188,0.9305
L1912-01175,FONDERIE,Tunis,la banlieue,,,,,,,,1,0,0,0,0,,136,193,0.949
L1912-01177,FONDOUK-DJËDID,Grombalia,Cap-Bon,,,,,,,,0,1,0,0,0,,385,193,0.9154
L1912-01178,FONDOUK-DJEDID-MESRATYA,,Cap-Bon,,121,Sousse et à 10 k,900,,,M. de Montureux,1,0,0,0,0,,405,193,0.9355
L1912-01184,FORESTIÈRE,Sfax,Sfax,,18,Triaga,,,,,0,0,0,0,0,,96,194,0.9353
L1912-01191,FOUM-TATAHOUINE,,Ourgliainma,,,,,,,,0,1,0,1,0,,303,196,0.9008
L1912-01194,FRAIGHICH,,Fraichich,,,,,,,,0,0,0,0,0,,104,196,0.934
L1912-01195,Français,,,,,,,,,,0,0,0,1,0,,1619,197,0.9151
L1912-01206,GAFOUR,Kef,Teboursouk,,,,,,,"MM. Endignoux, Hackenberger, Moreno, etc",1,1,0,1,0,,564,200,0.9391
L1912-01207,GAFSA,,,,86,Tozeur,,,,,1,0,0,0,1,,1695,200,0.9536
L1912-01208,GAFSA-GARE,Gafsa,Gafsa,,,,,,,,1,1,0,0,0,,174,200,0.8962
L1912-01212,GALAAT-ES-ANDLESS ou Gn.lnn.-Endelenz),Tunis,la,,,,,,,,0,0,0,0,0,,150,201,0.9092
L1912-01213,GALAAT-ES-SOUK,Maclar,Oulncl-Avar,,,,,,,,0,0,0,1,0,,103,201,0.8953
L1912-01215,GALITE,Rizerie,Rizerie,,,,,,,,0,1,0,0,0,,551,201,0.9335
L1912-01219,GAMART,Tunis,la Banlieue,,,,,,,,0,0,0,0,0,,186,202,0.962
L1912-01221,GAMMOUDI,Kef,,,,,,,,"de 400 hectares, située à 10 kil",1,0,0,1,0,,536,202,0.9571
L1912-01231,GARCI,Sousse,Sousse,,,,,,,,0,0,0,0,1,,655,203,0.933
L1912-01240,GAUTHERONVILLE,,,,3,Sfax,,,,,0,0,0,0,0,,98,206,0.9043
L1912-01260,GHARDIMAOU,Souk-el-Arba,la Regba,,33,Soukei-Arba,,,,"MM Carton, Pellicot, Straub, Cardoso, Poulaillon, de Torcy, du Martray, Turpu, Manuel, etc",1,1,0,1,1,,689,208,0.8932
L1912-01261,GHENNOUGHE ou Ghenouch,Gabès,,,,,,,,,0,0,0,0,0,,253,209,0.9014
L1912-01264,GHITANE-EGH-CHARFA,Gafsa,Djerid,,,,,,,,0,0,0,0,0,,64,209,0.9615
L1912-01265,GHOUMERASSEN,,Ourgliamma,,,,5500,,,,0,0,0,0,0,,230,209,0.9583
L1912-01281,GLIAT-REDJA,Bizerte,Mateur,,23,Mateur,,250,,,0,0,0,0,0,,401,211,0.9153
L1912-01287,GORGALIA,Bizerle,Mateur,,,,,,,,0,0,0,0,0,,93,211,0.983
L1912-01289,GOUAZINE,Kef,Kef,,25,Kef et à 15 k,5000,,,M. Mouraud,0,0,0,0,0,,172,211,0.9412
L1912-01290,GOUBELLAT,Béja,Medjez-el-Bab,,,,,,,,0,1,0,0,0,,178,211,0.9268
L1912-01291,GOULETTE,Tunis,la banlieue,,,,6000,,,,0,1,0,0,1,,1328,211,0.9412
L1912-01293,GOURINE,,Nefzaoua,,40,Médenine,,,,,0,0,0,0,0,,86,212,0.9723
L1912-01294,GOUSSAT-EL-BEY,Tunis,,,,,,,,"l'Epargne Foncière, 580 hect",0,0,0,0,0,,93,212,0.9373
L1912-01300,GRAIBA,Sfax,la Sk-hira,,,,,,,,0,0,0,0,0,,200,213,0.8424
L1912-01312,GRIGH-EL-OUED,Béja,Medjez-el-Bab,,,,,,,,0,0,0,0,0,,90,214,0.9883
L1912-01313,GROMBALIA,,Cap-Bon (le caïd réside à Nabeu,,,,600,,,,1,1,0,0,0,,541,214,0.9316
L1912-01317,GUALLALA,Gabès,l'Arad,,25,Houmt-Souk,,,,,0,0,0,1,1,,229,214,0.9172
L1912-01318,GUEBBA..C,Gafsa,Djerid,,,,,,,,0,0,0,0,1,,106,214,0.978
L1912-01323,GUEMOUDA,Gafsa,I-Iamama,,112,Gafsa,,,,,0,0,0,0,0,,182,215,0.9276
L1912-01329,GUERMESSA,,Ourgharnma,de,22,Foum-Tatahouine,,,,,0,0,0,0,0,,106,216,0.9613
L1912-01330,GUERN-ALFAYA,,Kef,,30,Kef (264 hect,,,,,0,0,0,0,0,,221,217,0.9288
L1912-01331,GUETOU'FA,,Ourghamma,,,,,,,,0,0,0,0,0,,74,217,0.9817
L1912-01349,HACHACH-MATMATA,,Matmala,,3,Matmala,,,,,0,0,0,0,0,,116,219,0.8982
L1912-01353,HADJEB-EL-AIOUN,,Djelass,,,,,,,,1,0,0,0,0,,205,219,0.8993
L1912-01354,HADJEB-EL-AIOUN,Kairouan,Djelass,,4,H AD — RAM la gare de ce nom,600,,,,1,0,0,1,1,,265,219,0.8314
L1912-01357,HAIDAR,Tunis,la banlieue,,2,Bardo,,,,,0,0,0,0,0,,86,220,0.9573
L1912-01358,HAIDRA,Tala,Frechich,,20,Kalâa-Djerda el à une vingtaine,,,,,0,0,0,0,1,,469,220,0.9491
L1912-01359,HAKIM,Souk-el-Arba,la,,13,Ghardimaou,,,,,0,0,0,1,0,,206,220,0.9703
L1912-01360,HALFAOUINE,Tunis,,,,,,,,,0,0,0,0,0,,488,220,0.9765
L1912-01366,HAMEIMA,Kef,Tadjerouine,,,,,,,,0,0,0,0,0,,216,220,0.9248
L1912-01367,Hammam,Gafsa,I-lamama,,,,,,,,0,0,0,0,0,,266,220,0.969
L1912-01368,HAMMAM-DARRADJI,Soukel-Arba,Djendouba,,,,,,,,0,0,0,1,1,"Tarie. Bulla-Regia, à 7 k. 500 de Soukol-Arba. Route. Fut la résidence des rois numides et dédiée à. Baal, d'où son nom. Au sud, on remarque une colline isolée couverte de dolmens,d'allées de pierres, puis une forteresse punique, des thermes considérables en partie déblayés, un théâtre, un amphithéâtre, un nymphée, un temple d'Apollon, une forteresse byzantine, de grandes nécropoles et surtout de curieuses demeures souterraines, dépendances de riches habitations et construites pour éviter les chaleurs de l'été. La plupart de ces villas onl conservé leurs voûtes et sont ornées de mosaïques à. sujets d'une grande richesse, de colonnes, de marbres précieux. Elles donnent à ces ruines un caractère tout particulier et qu'on ne rencontre que dans les plus riches demeures de Pompéi. D' L. C.",940,220,0.9622
L1912-01369,HAMMAM-DJEDIDI,Grombalia,Cap-Bon,,,,,,,,0,0,0,0,0,,384,220,0.9414
L1912-01370,HAMMAMET,,Cap-Bon,,,,9000,,,,1,1,0,0,0,,1040,221,0.9547
L1912-01371,HAMMAM-GAFSA,,Gafsa,,,,,,,,0,0,0,0,0,,708,221,0.9637
L1912-01372,HAMMAM DU JOUAIDIA,Souk-el-Arba,Aïn-Draham,,,,,,,,0,0,0,1,0,,299,221,0.9695
L1912-01373,HAMMAM-LIF,Tunis,la banlieue,,,,,,,,1,1,0,0,1,,2601,221,0.9538
L1912-01374,HAMMAM-MELLEK,,,,18,Kef,,,,,0,0,0,0,0,,77,221,0.966
L1912-01375,HAMMAM-M'SADIA,Béja,Béja,,,,,,,,0,0,0,1,0,,360,221,0.9762
L1912-01376,HAMMAM-OUCHTATA,Soukel-Arba,la Regha,,,,,,,,0,0,0,1,0,,229,221,0.8257
L1912-01377,HAMMAM-OULED-ALI,Soukel-Arba,la Regba,,,,,,,,0,0,0,1,1,,540,222,0.9623
L1912-01378,HAMMAM - OULED-BOU-SALEM,Souk-el-Arba,Ouledbou-Salem et Cbiba,,,,,,,,0,0,0,1,0,,195,222,0.918
L1912-01379,HAMMAM-SAYALA,,Béja,,,,,,,,0,0,0,0,0,,225,222,0.9578
L1912-01380,HAMMAM-SOUSSA,,Sousse,,5,Sousse et à 3 kil,3400,,,,0,0,0,0,0,,214,222,0.92
L1912-01381,HAMMAM-ZOUAKERA,Mactar,Ouled-Ayar,,,,,,,,0,0,0,0,1,,367,222,0.9284
L1912-01382,HAMMAM-ZRIBA,Tunis,Zaghouan à: 8 kil,,,,,,,,0,0,0,0,1,,317,222,0.9179
L1912-01386,HAOUADID,,Ourgamma,,,,,,,,0,0,0,0,0,,99,222,0.8833
L1912-01387,HAOUCH-GUEDEM,,la banlieue,,6,Aïn-elAsker et à 2 kil,130,,,,1,0,0,0,0,,180,222,0.6983
L1912-01388,HAOUCH-SFAYA,Mactar,Ouled-Ayar,,12,Mac- i ter,,,,,0,0,0,1,0,,2936,223,0.9667
L1912-01389,HARA-KEBIRA,Gabès,l'Arad,,2,Djerba,3500,,,,0,0,0,1,0,,195,223,0.9324
L1912-01390,HARA-SGHIRA,Gabès,l'Arad,,,,1500,,,,0,0,0,1,0,,1753,223,0.9459
L1912-01399,HAZEG,Sfax,Sfax,,40,Sfax,,,,,0,0,0,0,0,,69,225,0.9255
L1912-01401,HEDDIL,Bizerte,Bizerte,,21,El-Djem,,,,,1,0,0,0,0,,217,225,0.8607
L1912-01402,HENCHIR-BAB-KHALLED,Tunis,,,,,,,,,0,0,0,0,1,,257,225,0.9623
L1912-01403,HENCHIR-EL-TURK,Sfax,Sfax,,47,Sfax,,,,,0,0,0,0,1,"l'ancienne Segermès; ruines d'un capitule flanqué de 4 tours.- d'une église avec certaines parties bien conservées, thermes publics, plusieurs monuments indéterminés. (V.Segermès.)",290,225,0.9551
L1912-01404,HENCHIR-SAADIA,Kairouan,Kairouan,,,,,,,,0,0,0,0,0,,126,225,0.931
L1912-01410,HERGLA,Sousse,Sousse,,25,Enlidaville,,,,,0,0,0,0,0,,272,226,0.9123
L1912-01412,HIBOUN,Sousse,Mahdia,,,,,,,,0,0,0,0,0,,67,227,0.936
L1912-01426,HOUMET-EL-KAHIA,Gabès,l'Arad,,5,Gabès,,,,,0,0,0,0,0,,108,230,0.9627
L1912-01427,HOUMT-SOUK,Gabès,l'Arad,contrôle civil et des services,,,,,,,0,1,0,1,1,,1207,230,0.9702
L1912-01434,Huile,,,,,,,,,,0,0,0,0,0,,2182,231,0.9539
L1912-01442,ILE CANI,Bizerle,Bizerle,,2,Ramla et Mouamla,10000,,,,0,1,1,0,0,,5749,233,0.9616
L1912-01470,Israélites,,,,,,,,,,0,0,0,1,0,,2923,242,0.967
L1912-01489,KAIROUAN,Kairouan,Kairouan,,167,Tunis,20000,,,,1,0,0,0,0,,1398,247,0.9609
L1912-01491,KALAA-DJERDA,Kef,Tadjerouine,,,,,,,,1,1,0,0,0,,264,247,0.9243
L1912-01492,KALAA-KEBIRA,Sousse,Sousse,,13,Sousse,7000,,,,1,1,0,0,0,,307,247,0.9006
L1912-01493,KALAA SRIRA,,,,8,Sousse,4000,,,,1,0,0,0,0,,256,247,0.892
L1912-01494,KALAAT-ES-SENAM,Kef,Tadjerouine,,,,,,,,1,0,0,0,0,,466,247,0.9095
L1912-01495,KASS,Souk-el-Arba,Aïn-Draham,,21,Tabarca,,,,,0,0,0,1,0,,622,247,0.9761
L1912-01496,KASSAR-SAID,Tunis,la banlieue,,,,,,,,1,0,0,0,0,,694,248,0.9567
L1912-01497,KASSERINE,Tala,Fraichich,,,,,,,,1,0,0,0,0,,394,248,0.9501
L1912-01498,KEBILI,,Nefzaoua,,120,Gabès,500,,,,0,1,0,0,0,,245,248,0.9246
L1912-01499,KEF,Kef,Kef,,,,7000,,,,0,1,0,0,1,,1125,248,0.9565
L1912-01500,KEF-LASFAR,Béja et caïdat de Medjez-el-Bab,Medjez-el-Bab,,12,Medjez-el-Bab,,,,,0,0,0,0,0,,194,248,0.8862
L1912-01501,KELBINE,Mactar,Oulad-Ayar,,11,Mactar,250,,,,0,0,0,0,0,,114,248,0.9363
L1912-01502,KELIBIA,Grombalia,Cap-Bon,,85,Tunis et à 62 k,4000,,,,0,1,0,0,1,,675,248,0.9553
L1912-01503,KELLABINE,,Sfax,,34,Sfax,,,,,0,1,0,0,0,,147,248,0.982
L1912-01505,KERKER,,Mahdia,,23,El-Djem,,,,,1,0,0,0,0,,130,248,0.925
L1912-01506,KESRA,Mactar,Oulad-Ayar,,,,,,,,0,0,0,1,0,,330,249,0.9782
L1912-01507,KETENA,Gabès,l'Arad,,18,Gabès,,,,,0,0,0,0,0,,154,249,0.9828
L1912-01512,KHANGUET-EL-HADJADJ,Grombalia,Cap-Bon,,10,Grombalia,,,,,0,1,0,0,0,,289,249,0.8964
L1912-01513,KHANGUET,Grombailia,,,6,Grombalia,,,,,1,1,0,0,0,,204,249,0.9125
L1912-01514,KHANGUET-KEF-TOUT,,Béja,,30,Béja,,,,,0,0,0,0,0,,305,249,0.8031
L1912-01516,KHAZNADAR,Tunis,la banlieue,,4,Tunis,350,,,"général Dolot, commandant Defrance, Donégani, Si Mahmoud-Bey, vicomte de Nantois, Ginnet, Perrin, Société française de Bienfaisance, etc",0,0,0,0,0,,447,249,0.9616
L1912-01518,KHEREDDINE,Tunis,la banlieue,,2,La Goulette et-à 14 kil,,,,,0,0,0,0,0,,261,250,0.9709
L1912-01522,KHLEDIA,Tunis,,,,,,,,,1,0,0,0,0,,153,250,0.9115
L1912-01524,KHOFRA,Tunis,,,25,Tunis et à 15 k,,,,"achetée en 1006 et située entre la plaine du Khanguet et le Djebeler-Reças, à 25 k",1,0,0,0,0,,626,250,0.8966
L1912-01526,KHOUDDIA,Souk-el-Arba,Chihia et Oulad-bou-Salem,,9,Souk-el-Khemis,,,,,0,0,0,1,0,,136,250,0.927
L1912-01530,KNEIS,Sousse,Sousse,,10,M'saken,,,,,0,0,0,0,0,,61,251,0.9405
L1912-01531,KORBA,Grombalia,Cap-Bon,,19,Nabeul,,,,,0,0,0,0,1,,288,251,0.969
L1912-01532,KORBOUS,Grombalia,Cap-Bon,,48,Tunis et à 1,,,,,1,1,0,0,0,,175,251,0.9154
L1912-01536,KOUBBA DE SIDI ALI,Gafsa,Djerid,,,,,,,,0,0,0,0,0,,231,252,0.9608
L1912-01537,KOUDIAT,Soukel-Arba,,,10,Soukel-Khemis,,,,située à 10 k,0,0,0,1,0,,597,252,0.8924
L1912-01540,KRAGHOUA,,Ouarghamma,,22,Foum-Tatahouine,,,,,0,0,0,0,0,,95,253,0.9393
L1912-01541,KRAM,Tunis,la banlieue,,3,La Goulette et desservi par le,,,,,0,1,0,0,0,,300,253,0.933
L1912-01543,KRIB,Kef,Teboursouk,,18,Gaffour,,,,,1,0,0,1,0,,277,253,0.9171
L1912-01544,KRIBA,Sfax,Sfax,,29,Sfaz,,,,,0,0,0,0,0,,59,253,0.9415
L1912-01546,KRIZ,Gafsa,Tozeur,,5,Degache,,,,,0,0,0,0,0,,64,253,0.9435
L1912-01547,KROUSSIAH,Sousse,Sousse,,30,Sousse et 3 k,,,,,0,0,0,0,0,,101,253,0.961
L1912-01548,KROUSSIAH-SAHALI,Sousse,Sousse,,,,,,,,1,0,0,0,0,,114,253,0.8847
L1912-01549,KSAR-BEN-KHRDAGHE,,Malmata,,,,,,,,0,0,0,0,0,,74,253,0.9923
L1912-01550,KSAR-HELAL,Sousse,Monastir,,18,Mahdia et à 4-3 k,2300,,,,0,1,0,0,0,,215,253,0.9163
L1912-01551,KSAR-MEZOUAL,Béja,Béja,,7,Munchar,,,,M. Léon Roy,0,0,0,0,0,,93,253,0.9343
L1912-01552,KSAR-TYR,Béja,Medjez-el-Bab,,,,,,,,0,0,0,0,0,,87,253,0.828
L1912-01553,KSIBA,Sousse,Monastir,,6,Monastir et à 10 k,1500,,,,0,0,0,0,0,,151,253,0.9205
L1912-01554,KSIBA-SOUSSE,Sousse,Sousse,,9,Sousse,,,,,1,0,0,0,1,,270,253,0.9181
L1912-01555,KSOUR,Kef,Tadjerouine,,45,Kef,1200,,,,1,1,0,0,0,,227,253,0.917
L1912-01556,KSOUR-ESSAF,Sousse,Mahdia,,,,6000,,,,0,1,0,1,0,,199,253,0.905
L1912-01557,KSOUR-D'OUED-OUZAFA,Mactar,Oulad-Aoun,,,,,,,,0,1,0,0,1,,1063,253,0.9316
L1912-01566,LADJERED,Tala,Fraichich,,20,Tala,,,,,0,0,0,0,0,,69,255,0.9515
L1912-01578,LALA,Gafsa,Gafsa,,,,,,,,0,0,0,0,0,,121,257,0.962
L1912-01583,LAMINE,,,,,,,,,,0,0,0,0,0,,307,258,0.9151
L1912-01591,LANSARINE,Tunis,la banlieue,,20,Schuiggui,,,,,0,1,0,0,0,,622,259,0.9741
L1912-01597,LAVERIE,Tunis,JUBOL - URODONAL - GLOBÉOL de l,,,,,,,,1,1,0,0,1,ruines du Djebel-Reças.,245,260,0.8694
L1912-01644,LOUKANDA,Tunis,Zaghouan,,13,Pont-du-Fahs,,,,,0,0,0,0,0,,93,270,0.9163
L1912-01645,LOUZA,Sfax,Sfax,,,,,,,,0,0,0,0,0,,101,270,0.918
L1912-01655,MAAMOURA,Grombalia,,,,,,,,,0,0,0,0,0,,295,272,0.9824
L1912-01656,MABROUK,,Monastir,,,,,,,,0,0,0,0,0,,325,272,0.9337
L1912-01657,MABTOUBA,,,,3,Sidi-Alhman et à 12 kil,,,,,0,0,0,0,0,,112,272,0.94
L1912-01663,MADJEN-SAFI,Souk-el-Arba,Aïn-Drnham,,12,AïnDraliam,,,,,0,0,0,1,0,,115,273,0.9167
L1912-01665,MAGHRAOUA,Mactar,Oiiled-Aoun,,13,Mactar,,,,,0,0,0,1,0,,180,273,0.9362
L1912-01666,MAGHZEN,,,,,,,,,,0,0,0,0,0,,682,273,0.9798
L1912-01670,MAHARÈS,Sfax,Sfax,,,,2500,,,,0,1,0,1,0,,391,273,0.9342
L1912-01671,MAHBOUBINE,Gabès,l'Arad,,4,Midoun,,,,,0,0,0,0,0,,350,273,0.9795
L1912-01672,MAHDIA,Sousse,Mahdia,,63,Sousse,0000,,,,1,1,0,0,0,,1434,273,0.9405
L1912-01678,MAISON FORESTIÈRE,Souk-el-Arba,Aïn-Dra,,2,Aïn-Draham,,,,,0,0,0,1,0,,162,274,0.9198
L1912-01679,MAJEN-BEN-ABBÈS,Tala,Fraichich,,25,Feriana,,,,,1,0,0,0,0,,168,274,0.9184
L1912-01680,MAJOUBA,Kef,,,,,,,,,1,0,0,0,0,,164,274,0.858
L1912-01681,MAKASSY,Gafsa,Hamama,,,,,,,,1,1,0,0,0,,200,274,0.8892
L1912-01682,MAKTAR,Maktar,Ouled-Aoun,,,,,950,,"foncière, 2, rue SaintCharles, Tunis",1,1,0,1,1,,1770,275,0.9373
L1912-01690,MANOUBA,Tunis,,,,,,,,,1,1,0,0,0,,581,276,0.8968
L1912-01691,MANSOUR,Tunis,Zaghounn,,20,Boii-Arada,,,,,0,0,0,0,0,,95,277,0.862
L1912-01695,MARETH,Gnbès,,,,,,,,,0,0,0,0,0,,277,277,0.9363
L1912-01702,MARSA,Tunis,,,18,Tunis,,,,,0,1,0,0,0,,796,278,0.9611
L1912-01716,MASSICAULT,Tunis,la,,28,Tunis,460,,,,0,1,0,0,1,,333,281,0.9201
L1912-01717,MATEUR,Bizerte,Mateur,,,,,,,,1,0,0,0,0,,150,281,0.8505
L1912-01718,MATEUR,Bizerle,Mateur,,,,,,,,1,1,0,1,1,,1337,281,0.9373
L1912-01721,MATMATA,,Malmata,,45,Gabès,,400,,,0,0,0,0,0,,1501,282,0.9607
L1912-01732,MAXULA-RADÉS,,la banl,,4,Mégrine,,,,,1,1,0,0,1,,803,283,0.9451
L1912-01737,MBABEK,,,,,,,,,,0,0,0,0,0,,153,284,0.8342
L1912-01739,MECHEHED-SALAH,,Ouarglianunn,,106,Foiim-'fntnliouinc,,,,,0,0,0,0,0,,112,284,0.7213
L1912-01743,MÉDENINE,,Ourghamma,,80,Gabès,,1,,,0,1,0,1,0,,579,286,0.9357
L1912-01747,MEDJEZ-EL-BAB,Béja,Medjez-el-Bab,,55,Béja,,,,,1,1,0,1,0,,705,286,0.9145
L1912-01748,MEDJEZ-EL-BAB,Bé- ' ja,Medjez-el-Bab,,,,,,,,1,0,0,0,0,,186,286,0.8796
L1912-01751,MÉGRINE,Tunis,la banlieue,,,,,,,,0,0,0,0,0,,230,286,0.9037
L1912-01753,MEKNA,Souk-el-Arba,Aïn-Draham,M\ibarca,17,Tabarca,,,,,0,0,0,1,0,,101,286,0.9557
L1912-01754,MÉLASSINE,Tunis,la,,2,Tunis,,,,,0,0,0,0,0,,146,286,0.9715
L1912-01755,MELITA,Sfax,Sfax,,,,,,,,0,0,0,0,0,,117,286,0.983
L1912-01757,MELLITA,Gabès,l'Arad,,4,J-loumlSouk,,,,,0,0,0,1,1,,163,287,0.9366
L1912-01758,MELLOUNECH,Sfax,Sfax,,33,Ksour-Essaf,,,,,0,0,0,0,0,,130,287,0.9635
L1912-01762,MENCHIA,,Nefzaoua,,,,,,,,0,0,0,0,0,,97,287,0.973
L1912-01763,MENNI,,,,,,,,,,0,0,0,0,0,,62,287,0.894
L1912-01768,MENZEL,,l'Arad,,2,Gabès,8000,,,,0,0,0,1,0,,180,287,0.9334
L1912-01769,MENZEL-ABDERRHAMANE,,,,5,Bizerte,1500,,,,0,0,0,0,1,,405,287,0.9669
