node_id,label,node_type,subtype,birth_year,n_decorations,has_portrait,entry_length_chars,page,page_url
L1912-00262,BECHIR-BEY (Prince),person_with_entry,military,1880,1,1,381,52,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f76.item
L1912-00265,BELAISCH (Isaac),person_with_entry,industry_crafts,1856,0,0,103,52,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f76.item
L1912-00266,BELAISCH (Aloïse),person_with_entry,industry_crafts,1879,0,0,152,52,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f76.item
L1912-00267,BELAISCH (Samuel),person_with_entry,industry_crafts,1874,0,0,213,52,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f76.item
L1912-00268,BEL AJOUZA (Salah),person_with_entry,justice_law,1880,0,0,594,52,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f76.item
L1912-00269,BELISAIRE (),person_with_entry,military,,0,0,146,52,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f76.item
L1912-00270,BEL KHODJA (Mohamed),person_with_entry,,1869,2,1,1099,52,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f76.item
L1912-00271,BELLAICH (Adolphe),person_with_entry,diplomacy,1873,0,0,465,53,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f77.item
L1912-00273,BELLÏSSEN (Joseph),person_with_entry,commerce,1865,2,0,324,53,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f77.item
L1912-00274,BELLOT (Jean-Ernest),person_with_entry,politics_native_admin,1854,5,1,1491,53,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f77.item
L1912-00275,BELTRANO (Ignazio),person_with_entry,commerce,,0,0,38,53,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f77.item
L1912-00276,BEMBARON (Gino),person_with_entry,,1878,0,0,308,53,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f77.item
L1912-00281,BENAZET (Aristide),person_with_entry,,1881,2,0,729,53,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f77.item
L1912-00283,BENCHI (Victor),person_with_entry,transport_maritime,1873,0,0,56,54,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f78.item
L1912-00286,BENEDETTI (),person_with_entry,education_science,1872,1,0,1103,54,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f78.item
L1912-00287,BENETTI (Camille),person_with_entry,religion,1860,0,1,517,54,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f78.item
L1912-00301,BEN KHALIFA (Alohamed),person_with_entry,politics_native_admin,1852,2,0,355,55,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f79.item
L1912-00304,BENOIT (François-Xavier),person_with_entry,engineering_architecture,1854,0,0,3357,55,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f79.item
L1912-00305,BEN SALAH (Ahmed),person_with_entry,education_science,,0,0,118,55,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f79.item
L1912-00306,BENSASSON (),person_with_entry,commerce,1854,2,0,450,55,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f79.item
L1912-00307,BENSASSON (Umberto),person_with_entry,military,,0,0,326,55,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f79.item
L1912-00308,BÉRARD (Antonïn),person_with_entry,,1862,2,1,427,56,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f80.item
L1912-00309,BERGE (Stéphane),person_with_entry,justice_law,1852,3,1,1084,56,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f80.item
L1912-00310,BERGTOLD (Georges),person_with_entry,education_science,1876,1,0,296,56,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f80.item
L1912-00311,BERHAULT (Jean),person_with_entry,military,1870,0,0,270,56,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f80.item
L1912-00312,BËRIEL (Philippe),person_with_entry,military,1877,3,0,1033,56,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f80.item
L1912-00314,BERKELEY (Ernest- James - Lennox),person_with_entry,diplomacy,1857,0,0,425,57,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f81.item
L1912-00315,BERNARD (Paul),person_with_entry,military,1867,1,0,218,57,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f81.item
L1912-00316,BERNE (Jean-Marie),person_with_entry,education_science,1866,3,1,286,57,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f81.item
